experiment_name,n_protein,cytokine_protein,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M,intraclashes_group1,intraclashes_group2,foldx_deltaG_kcalpermol,stability_group1,stability_group2
BANAL-20-52-N__CXCL9,BANAL-20-52-N,CXCL9,1,./results/BANAL-20-52-N__CXCL9/run1/structures/it1/water/BANAL-20-52-N__CXCL9_92w.pdb,4,-112.18,11.58,-70.45,7.34,-417.29,49.6,3118.41,211.87,11.15,4.441,53.5,0,0,0,3137.915,354.082,169.082,30.223,-13.9,6E-11,21.2266,4.87185,-15.2397,245.502,51.699
BANAL-20-52-N__CXCL12alpha,BANAL-20-52-N,CXCL12alpha,4,./results/BANAL-20-52-N__CXCL12alpha/run1/structures/it1/water/BANAL-20-52-N__CXCL12alpha_86w.pdb,5,-112.8,16.46,-75.47,19.54,-373.23,33.36,2613.74,185.36,10.31,2.43,45.4,0,0,0,2570.426,262.535,121.566,23.095,-16.1,1.7E-12,26.1812,5.4975,-15.2296,250.059,12.5176
SARS-CoV-2-WA1-N__CXCL12beta,SARS-CoV-2-WA1-N,CXCL12beta,4,./results/SARS-CoV-2-WA1-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL12beta_165w.pdb,5,-90.49,7.61,-70.82,7.35,-196.73,12,2940.1,86.85,-6.202,5.145,49.2,0,0,0,2882.278,183.622,177.644,10.32,-12.8,4.2E-10,22.3079,3.39029,-15.2045,245.757,27.315
SARS-CoV-2-B.1.1.529-N__CXCL6,SARS-CoV-2-B.1.1.529-N,CXCL6,3,./results/SARS-CoV-2-B.1.1.529-N__CXCL6/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CXCL6_186w.pdb,7,-95.76,14.21,-78.73,13.42,-170.29,18.62,2957.93,265.62,1.015,4.274,52.14,0,0,0,3013.053,208.756,184.018,27.824,-14.4,2.8E-11,24.2607,3.1319,-15.0365,265.415,25.461
MERS-CoV-N__CCL26,MERS-CoV-N,CCL26,7,./results/MERS-CoV-N__CCL26/run1/structures/it1/water/MERS-CoV-N__CCL26_188w.pdb,4,-103.71,10.35,-94.07,10.16,-96.42,65.82,2934.97,213.55,-15.084,3.646,44.25,0,0,0,2858.24,187.19,165.064,10.938,-13.4,1.6E-10,31.7353,7.07761,-14.9618,255.088,35.9492
SARS-CoV-2-XBB-N__CXCL14,SARS-CoV-2-XBB-N,CXCL14,2,./results/SARS-CoV-2-XBB-N__CXCL14/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL14_125w.pdb,5,-96,15.53,-61.89,9.97,-341.08,78.9,3006.23,101.21,28.566,7.312,52.2,0,0,0,2502.032,284.11,199.087,20.127,-11.3,4.8E-09,20.2348,3.63309,-14.8659,246.667,15.2058
SARS-CoV-2-BQ.1-N__CCL4,SARS-CoV-2-BQ.1-N,CCL4,10,./results/SARS-CoV-2-BQ.1-N__CCL4/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL4_119w.pdb,4,-107.44,10.19,-73.86,8.32,-335.82,44.38,2924.99,263.2,1.613,3.304,48.25,0,0,0,2628.812,148.29,153.087,25.717,-12.2,1.1E-09,25.4221,3.15834,-14.6501,261.615,12.9389
OC43-N__CCL5,OC43-N,CCL5,7,./results/OC43-N__CCL5/run1/structures/it1/water/OC43-N__CCL5_1w.pdb,7,-107.02,17.33,-74.59,10.77,-324.31,85.07,3021.42,220.54,-7.898,6.642,50,0,0,0,3161.499,196.504,154.794,40.419,-15.9,2.1E-12,39.2444,4.79184,-14.6212,306.935,12.7622
OC43-N__CCL22,OC43-N,CCL22,3,./results/OC43-N__CCL22/run1/structures/it1/water/OC43-N__CCL22_61w.pdb,5,-116.73,9.08,-83.96,11.15,-327.74,52.73,3529.71,243.1,-8.912,4.672,54.4,0,0,0,2940.814,201.813,194.555,22.775,-16,1.7E-12,31.8881,4.75422,-14.6042,300.905,25.4481
RaTG13-N__CCL11,RaTG13-N,CCL11,1,./results/RaTG13-N__CCL11/run1/structures/it1/water/RaTG13-N__CCL11_84w.pdb,7,-106.97,10.15,-83.97,11.69,-230,34.68,2857.9,138.12,7.624,7.297,45,0,0,0,2909.496,128.979,163.448,24.986,-14.3,3.2E-11,28.2728,5.57074,-14.6,299.755,22.4065
SARS-CoV-2-WA1-N__CXCL2,SARS-CoV-2-WA1-N,CXCL2,1,./results/SARS-CoV-2-WA1-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL2_79w.pdb,7,-107.37,11.42,-77.68,9.43,-296.91,48.66,3003.6,149.95,7.587,4.714,50.71,0,0,0,2767.066,192.09,170.886,24.349,-13.9,6.4E-11,20.4147,5.70816,-14.5919,247.016,19.8893
SARS-CoV-2-BA.2-N__IFNbeta,SARS-CoV-2-BA.2-N,IFNbeta,1,./results/SARS-CoV-2-BA.2-N__IFNbeta/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IFNbeta_2w.pdb,8,-78.95,11.21,-61.34,11.83,-176.12,12.09,3434.62,338.8,-10.345,4.952,58.5,0,0,0,2066.504,256.57,242.059,48.713,-11.8,2E-09,21.4224,8.50236,-14.5714,245.563,-27.9023
SARS-CoV-2-B.1.351-N__IL-35,SARS-CoV-2-B.1.351-N,IL-35,18,./results/SARS-CoV-2-B.1.351-N__IL-35/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__IL-35_91w.pdb,2,-119.49,17.93,-93.91,19.41,-255.76,14.77,4177.16,122.95,-2.214,1.873,72,0,0,0,3440.645,374.025,290.523,17.803,-16.9,4.2E-13,27.8682,23.9242,-14.5467,248.838,29.9848
OC43-N__CCL19,OC43-N,CCL19,6,./results/OC43-N__CCL19/run1/structures/it1/water/OC43-N__CCL19_37w.pdb,4,-134.89,13.6,-68.31,7.42,-665.74,74.26,3540.16,414.3,17.916,2.862,51.5,0,0,0,3500.84,199.801,170.471,51.331,-16.4,9.4E-13,32.0914,3.55559,-14.5085,298.031,6.86986
SARS-CoV-2-BA.1.1-N__CCL19,SARS-CoV-2-BA.1.1-N,CCL19,5,./results/SARS-CoV-2-BA.1.1-N__CCL19/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL19_179w.pdb,4,-90.76,5.49,-64.3,7.73,-264.63,33.31,2818.2,148.44,8.889,6.916,43.25,0,0,0,2372.38,158.71,173.482,18.94,-12,1.5E-09,28.034,2.50552,-14.4279,268.189,19.1416
SARS-CoV-2-BA.4-N__IL-12p70,SARS-CoV-2-BA.4-N,IL-12p70,1,./results/SARS-CoV-2-BA.4-N__IL-12p70/run1/structures/it1/water/SARS-CoV-2-BA.4-N__IL-12p70_152w.pdb,4,-96.43,10.9,-52.11,11.18,-443.18,46.59,5521.51,250.57,23.597,6.177,90.5,0,0,0,2986.293,193.879,434.998,13.253,-10.8,1.2E-08,25.7369,33.5923,-14.3972,267.191,99.5892
SARS-CoV-2-BA.4-N__CCL22,SARS-CoV-2-BA.4-N,CCL22,8,./results/SARS-CoV-2-BA.4-N__CCL22/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL22_122w.pdb,5,-99.25,8.02,-70.53,7.71,-287.17,15.9,2837.28,166.07,4.054,3.508,47.8,0,0,0,2265.658,108.903,159.82,11.393,-11.9,1.9E-09,21.2924,4.50441,-14.3324,250.776,16.2417
SARS-CoV-2-B.1.1-N__CCL19,SARS-CoV-2-B.1.1-N,CCL19,3,./results/SARS-CoV-2-B.1.1-N__CCL19/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL19_46w.pdb,4,-114.38,15.56,-78.19,11.36,-361.85,46.11,2954.96,114.8,20.877,2.832,49.25,0,0,0,2928.007,396.771,165.812,29.237,-14.9,1.3E-11,27.9734,8.36642,-14.1522,286.937,29.4218
SARS-CoV-2-BA.4-N__CXCL12alpha,SARS-CoV-2-BA.4-N,CXCL12alpha,2,./results/SARS-CoV-2-BA.4-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL12alpha_184w.pdb,11,-121.69,10.02,-87.01,7.36,-346.8,76.98,2759.74,230.08,8.344,4.02,47.91,0,0,0,2839.051,139.73,127.947,21.138,-12.1,1.4E-09,23.6207,4.92315,-13.9591,296.643,19.9636
BANAL-20-52-N__IFNbeta,BANAL-20-52-N,IFNbeta,2,./results/BANAL-20-52-N__IFNbeta/run1/structures/it1/water/BANAL-20-52-N__IFNbeta_164w.pdb,5,-145.55,4.01,-102.32,2.79,-432.32,57.59,3141.88,278.6,16.272,1.823,55.4,0,0,0,3431.078,200.409,141.675,27.967,-14.2,3.8E-11,33.9221,8.11196,-13.9489,301.448,-15.9909
SARS-CoV-2-B.1.351-N__XCL1,SARS-CoV-2-B.1.351-N,XCL1,5,./results/SARS-CoV-2-B.1.351-N__XCL1/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__XCL1_12w.pdb,5,-108.63,20.79,-70.59,12.88,-380.42,103.82,2565.88,161.08,34.967,5.669,44.6,0,0,0,3360.428,347.802,144.885,31.335,-14.1,4.5E-11,28.2183,5.06333,-13.9055,264.851,51.5104
SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL5,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL5,4,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL5_99w.pdb,5,-131.57,16.85,-104.83,16.75,-267.36,38.74,2621.25,52.72,-3.277,3.026,47.2,0,0,0,3126.784,297.517,100.542,15.703,-12.8,3.9E-10,28.4855,3.34564,-13.8679,266.484,24.4602
SARS-CoV-2-B.1.1.7-N__IL-10,SARS-CoV-2-B.1.1.7-N,IL-10,2,./results/SARS-CoV-2-B.1.1.7-N__IL-10/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-10_26w.pdb,4,-119.87,8.8,-68.03,10.7,-518.44,33.05,3193.74,157.33,33.572,1.74,55.5,0,0,0,2929.998,146.467,181.231,16.618,-13.1,2.4E-10,28.5418,12.7523,-13.7542,265.338,21.7814
SARS-CoV-2-BA.1.1-N__CCL23,SARS-CoV-2-BA.1.1-N,CCL23,16,./results/SARS-CoV-2-BA.1.1-N__CCL23/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL23_104w.pdb,2,-124.56,0.17,-96.73,0.54,-278.31,7.14,3098.76,72.68,12.192,4.036,51,0,0,0,3345.145,108.155,169.673,2.345,-9.7,7.9E-08,20.114,22.3958,-13.7239,251.477,103.9
SARS-CoV-2-P.1-N__CCL16,SARS-CoV-2-P.1-N,CCL16,1,./results/SARS-CoV-2-P.1-N__CCL16/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL16_75w.pdb,6,-106.84,10.03,-77.75,6.96,-290.88,44.18,3026.82,247.61,7.404,1.305,53.83,0,0,0,3013.612,231.295,174.157,32.365,-15.7,2.8E-12,22.7012,4.04471,-13.5859,269.513,39.5357
SARS-CoV-2-BQ.1-N__IFNA2,SARS-CoV-2-BQ.1-N,IFNA2,4,./results/SARS-CoV-2-BQ.1-N__IFNA2/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IFNA2_28w.pdb,4,-105.7,15.22,-69.03,9.78,-366.67,63.15,3500.12,239.47,1.929,2.824,58.5,0,0,0,2753.312,294.49,209.571,43.172,-14,5E-11,28.8065,13.3531,-13.561,254.478,4.34439
SARS-CoV-2-P.1-N__IL-17a,SARS-CoV-2-P.1-N,IL-17a,23,./results/SARS-CoV-2-P.1-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL-17a_119w.pdb,2,-143.06,18.83,-105.68,13.62,-373.73,52.12,3223.87,32.6,20.154,4.817,57.5,0,0,0,3624.55,253.65,162.113,15.97,-15.9,2E-12,27.2211,7.98777,-13.4844,291.371,51.6609
SARS-CoV-2-BA.1.1-N__IFNomega,SARS-CoV-2-BA.1.1-N,IFNomega,5,./results/SARS-CoV-2-BA.1.1-N__IFNomega/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__IFNomega_27w.pdb,3,-121.06,13.04,-88.17,11.02,-328.88,47.03,3189.83,123.03,16.57,0.933,55.33,0,0,0,3023.123,150.43,181.604,27.782,-16.5,7.6E-13,22.7455,12.9809,-13.4115,262.597,5.8047
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL5,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL5,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL5/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL5_9w.pdb,8,-88.23,12.78,-70.53,12.64,-177.05,82.39,2737.47,193.09,-3.258,4.999,42.88,0,0,0,2215.719,317.329,164.553,30.178,-14.5,2.2E-11,27.5924,3.30684,-13.3384,267.262,7.98327
SARS-CoV-N__CCL8,SARS-CoV-N,CCL8,5,./results/SARS-CoV-N__CCL8/run1/structures/it1/water/SARS-CoV-N__CCL8_117w.pdb,4,-104.09,19.59,-71.78,10.89,-323.06,95.57,2895.15,181.09,19.705,3.173,48.25,0,0,0,2558.442,222.07,172.826,20.494,-10.3,2.7E-08,24.8301,2.08995,-13.1164,259.911,4.34357
RaTG13-N__IFNbeta,RaTG13-N,IFNbeta,3,./results/RaTG13-N__IFNbeta/run1/structures/it1/water/RaTG13-N__IFNbeta_192w.pdb,5,-114.28,15.32,-69.53,11.22,-447.51,56.04,3059.56,122.51,22.645,10.097,51.6,0,0,0,3066.948,219.167,169.57,27.413,-12.8,4.4E-10,32.4676,9.19276,-13.0754,305.985,-9.21341
BANAL-20-52-N__CCL4,BANAL-20-52-N,CCL4,3,./results/BANAL-20-52-N__CCL4/run1/structures/it1/water/BANAL-20-52-N__CCL4_24w.pdb,4,-111.3,10.66,-86.66,8.83,-246.36,34.99,3106.3,201.4,-5.941,2.559,48.25,0,0,0,2551.525,126.785,168.754,22.107,-12.3,8.8E-10,27.6837,7.32833,-12.933,282.985,16.8683
MERS-CoV-N__IL-17a,MERS-CoV-N,IL-17a,1,./results/MERS-CoV-N__IL-17a/run1/structures/it1/water/MERS-CoV-N__IL-17a_7w.pdb,9,-74.84,10.06,-57.76,8.46,-170.77,41.74,3562.44,239.25,1.668,5.361,55.33,0,0,0,2236.229,127.966,265.996,30.59,-11.2,6.5E-09,36.2256,10.084,-12.9231,284.437,50.9606
SARS-CoV-2-BQ.1-N__CCL3L1,SARS-CoV-2-BQ.1-N,CCL3L1,3,./results/SARS-CoV-2-BQ.1-N__CCL3L1/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL3L1_117w.pdb,7,-113.76,8.68,-82.59,8.18,-311.68,29.95,3295.96,144.03,2.412,2.399,54.14,0,0,0,2658.379,124.157,187.08,20.902,-14.7,1.5E-11,27.3443,3.49253,-12.8928,263.177,18.8264
SARS-CoV-2-P.1-N__IL-13,SARS-CoV-2-P.1-N,IL-13,2,./results/SARS-CoV-2-P.1-N__IL-13/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL-13_4w.pdb,4,-104.57,21.66,-61.96,21.42,-426.09,42.68,2846.2,401,30.605,0.679,45,0,0,0,2460.45,299.704,168.044,57.861,-10.8,1.3E-08,23.3195,10.9736,-12.8211,259.704,19.746
RaTG13-N__CCL4L1,RaTG13-N,CCL4L1,2,./results/RaTG13-N__CCL4L1/run1/structures/it1/water/RaTG13-N__CCL4L1_175w.pdb,10,-115.59,17.51,-97.45,16.41,-181.36,47.01,2677.08,141.52,-19.09,5.357,45.6,0,0,0,2934.459,337.255,114.892,21.647,-16.1,1.6E-12,30.6266,1.48286,-12.7916,258.154,31.3753
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL22,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL22,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL22/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL22_41w.pdb,6,-95.57,15.44,-68.56,14.93,-270.14,43.66,2848.85,222.29,-3.305,4.848,48,0,0,0,2566.203,239.528,158.994,35.303,-14,5.6E-11,28.2949,3.06248,-12.6966,264.498,5.25732
BANAL-20-52-N__CCL20,BANAL-20-52-N,CCL20,1,./results/BANAL-20-52-N__CCL20/run1/structures/it1/water/BANAL-20-52-N__CCL20_16w.pdb,10,-114.15,21.42,-98.31,20.62,-158.42,49.31,2971.5,180.72,5.319,3.488,49.4,0,0,0,2912.095,330.922,172.475,32.217,-17.2,2.5E-13,25.642,4.71499,-12.693,248.249,21.4797
SARS-CoV-2-BA.2-N__IL-35,SARS-CoV-2-BA.2-N,IL-35,2,./results/SARS-CoV-2-BA.2-N__IL-35/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IL-35_40w.pdb,4,-89.28,8.42,-72.53,6.16,-167.5,44.25,4136.62,190.52,7.052,4.99,77.25,0,0,0,3100.443,192.771,314.686,14.947,-13.8,8.1E-11,24.2149,20.6706,-12.5933,258.728,0.26396
SARS-CoV-2-B.1.351-N__IFNbeta,SARS-CoV-2-B.1.351-N,IFNbeta,2,./results/SARS-CoV-2-B.1.351-N__IFNbeta/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__IFNbeta_7w.pdb,9,-89.99,16.84,-72.74,13.83,-172.47,59.53,3182.49,292.33,-3.581,5.32,56.56,0,0,0,2733.274,326.947,207.433,44.654,-16,1.9E-12,27.6288,8.85431,-12.5062,272.389,-15.083
SARS-CoV-2-P.1-N__CCL4,SARS-CoV-2-P.1-N,CCL4,6,./results/SARS-CoV-2-P.1-N__CCL4/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL4_24w.pdb,6,-101.17,6.8,-71.3,7.82,-298.66,25.64,2913.17,206.97,-0.417,2.971,46.67,0,0,0,2337.26,179.376,159.863,27.789,-13.6,1E-10,27.5249,6.28596,-12.476,264.784,14.0954
SARS-CoV-2-XBB-N__CCL20,SARS-CoV-2-XBB-N,CCL20,3,./results/SARS-CoV-2-XBB-N__CCL20/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL20_93w.pdb,5,-111.84,9.64,-74.2,6.44,-376.47,32.56,3088.16,62.53,14.507,3.129,47.8,0,0,0,2621.742,124.447,173.833,20.389,-15.4,4.9E-12,20.7325,3.32503,-12.4217,267.524,6.12331
SARS-CoV-N__CCL4,SARS-CoV-N,CCL4,8,./results/SARS-CoV-N__CCL4/run1/structures/it1/water/SARS-CoV-N__CCL4_75w.pdb,4,-124.23,6.92,-74.45,4.26,-497.77,59.69,3046,114.99,19.778,5.567,51,0,0,0,2867.188,37.425,150.369,11.76,-15.1,8E-12,23.239,5.3614,-12.4201,276.171,13.0511
SARS-CoV-2-P.1-N__IFNgamma,SARS-CoV-2-P.1-N,IFNgamma,2,./results/SARS-CoV-2-P.1-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-P.1-N__IFNgamma_52w.pdb,6,-100.64,13.07,-68.61,7.48,-320.31,61.4,3289.6,312.15,10.745,6.493,57.33,0,0,0,3159.578,300.11,207.032,35.796,-14.5,2.2E-11,29.1769,10.263,-12.3684,282.667,90.7271
SARS-CoV-2-B.1.351-N__CXCL7,SARS-CoV-2-B.1.351-N,CXCL7,2,./results/SARS-CoV-2-B.1.351-N__CXCL7/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL7_141w.pdb,4,-103.95,7.82,-66.4,5.42,-375.49,24.5,3091.06,111.33,22.425,1.641,50.25,0,0,0,2877.385,125.96,190.029,5.78,-13.1,2.5E-10,32.3939,2.66567,-12.3597,290.862,50.0316
OC43-N__IL-18BP,OC43-N,IL-18BP,3,./results/OC43-N__IL-18BP/run1/structures/it1/water/OC43-N__IL-18BP_18w.pdb,4,-121.49,19.14,-99.77,15.53,-217.13,38.67,3276.88,237.76,-5.098,1.5,57.75,0,0,0,3426.507,288.701,179.39,16.204,-16,1.8E-12,33.707,8.65761,-12.3068,302.498,54.2545
SARS-CoV-2-WA1-N__IL-10,SARS-CoV-2-WA1-N,IL-10,1,./results/SARS-CoV-2-WA1-N__IL-10/run1/structures/it1/water/SARS-CoV-2-WA1-N__IL-10_90w.pdb,4,-103.45,4.26,-54.84,4.22,-486.16,49.7,3600.38,139.08,25.604,4.361,58.5,0,0,0,2564.427,175.959,233.569,9.983,-12.4,8.4E-10,22.1252,7.69704,-12.2658,244.655,-4.62016
BANAL-20-52-N__CCL7,BANAL-20-52-N,CCL7,3,./results/BANAL-20-52-N__CCL7/run1/structures/it1/water/BANAL-20-52-N__CCL7_10w.pdb,4,-96.58,4.72,-70.09,4,-264.9,19.62,2891.53,190.98,16.216,2.648,47.25,0,0,0,2318.113,76.918,182.299,25.362,-11.8,2.2E-09,24.8845,6.1586,-12.2511,284.13,34.6891
