,n_protein,cytokine_protein,experiment_name,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M
10,SARS-CoV-2-B.1.1.7-N,CCL2,SARS-CoV-2-B.1.1.7-N__CCL2,7,./results/SARS-CoV-2-B.1.1.7-N__CCL2/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL2_94w.pdb,5,-104.91,7.25,-80.56,4.67,-243.45,34.45,2879.72,91.78,17.906,4.515,45.6,0.0,0.0,0.0,2440.174,174.432,176.625,14.775,-12.9,3.4e-10
11,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL26,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL26,3,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL26/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL26_91w.pdb,4,-69.4,9.95,-60.81,11.33,-85.9,24.79,2943.8,119.08,8.536,3.002,43.5,0.0,0.0,0.0,2155.865,156.485,224.928,16.479,-12.1,1.4e-09
12,SARS-CoV-N,CCL22,SARS-CoV-N__CCL22,10,./results/SARS-CoV-N__CCL22/run1/structures/it1/water/SARS-CoV-N__CCL22_193w.pdb,4,-129.42,9.94,-95.13,8.32,-342.91,26.59,2651.03,236.19,1.365,2.771,42.25,0.0,0.0,0.0,3166.095,160.04,102.76,14.868,-14.3,3.1e-11
13,SARS-CoV-2-B.1.1.7-N,CCL23,SARS-CoV-2-B.1.1.7-N__CCL23,4,./results/SARS-CoV-2-B.1.1.7-N__CCL23/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL23_4w.pdb,4,-115.52,22.95,-78.69,18.23,-368.28,49.54,3033.3,371.29,14.092,4.398,53.5,0.0,0.0,0.0,3417.965,448.228,165.072,60.673,-14.2,4.1e-11
14,SARS-CoV-2-B.1.1.529-N,CCL20,SARS-CoV-2-B.1.1.529-N__CCL20,1,./results/SARS-CoV-2-B.1.1.529-N__CCL20/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CCL20_186w.pdb,6,-89.19,7.83,-58.24,9.25,-309.46,33.38,3069.11,205.23,13.149,2.384,48.5,0.0,0.0,0.0,2153.998,186.895,199.929,21.785,-10.9,9.7e-09
15,OC43-N,CXCL4,OC43-N__CXCL4,4,./results/OC43-N__CXCL4/run1/structures/it1/water/OC43-N__CXCL4_71w.pdb,4,-96.77,10.58,-62.95,10.88,-338.23,9.19,3200.85,88.49,23.78,2.999,50.5,0.0,0.0,0.0,2317.448,218.548,213.271,15.843,-11.4,4e-09
16,SARS-CoV-2-P.1-N,IL-6,SARS-CoV-2-P.1-N__IL-6,5,./results/SARS-CoV-2-P.1-N__IL-6/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL-6_42w.pdb,5,-119.2,19.17,-61.31,10.9,-578.85,83.84,3348.63,182.47,19.988,5.43,60.2,0.0,0.0,0.0,3203.938,274.133,177.767,38.555,-12.5,6.6e-10
17,SARS-CoV-2-WA1-N,CCL18,SARS-CoV-2-WA1-N__CCL18,3,./results/SARS-CoV-2-WA1-N__CCL18/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL18_4w.pdb,6,-111.1,8.08,-81.84,5.84,-292.51,38.59,3002.22,276.68,10.184,2.543,49.33,0.0,0.0,0.0,2886.805,79.459,170.059,33.558,-15.5,4.4e-12
18,SARS-CoV-2-P.1-N,IL-17a,SARS-CoV-2-P.1-N__IL-17a,23,./results/SARS-CoV-2-P.1-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL-17a_119w.pdb,2,-143.06,18.83,-105.68,13.62,-373.73,52.12,3223.87,32.6,20.154,4.817,57.5,0.0,0.0,0.0,3624.55,253.65,162.113,15.97,-15.9,2e-12
19,SARS-CoV-2-XBB-N,CCL4L1,SARS-CoV-2-XBB-N__CCL4L1,5,./results/SARS-CoV-2-XBB-N__CCL4L1/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL4L1_141w.pdb,4,-123.12,11.68,-105.74,8.2,-173.81,38.38,2547.35,88.79,-9.809,4.55,44.25,0.0,0.0,0.0,3277.483,233.489,104.421,17.292,-15.2,7.1e-12
20,SARS-CoV-2-B.1.351-N,CXCL8,SARS-CoV-2-B.1.351-N__CXCL8,1,./results/SARS-CoV-2-B.1.351-N__CXCL8/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL8_49w.pdb,16,-84.16,11.11,-63.13,9.95,-210.3,29.23,2984.3,93.94,14.04,2.974,48.75,0.0,0.0,0.0,2581.521,163.253,207.284,14.786,-14.9,1.1e-11
21,SARS-CoV-2-BA.2-N,CXCL6,SARS-CoV-2-BA.2-N__CXCL6,3,./results/SARS-CoV-2-BA.2-N__CXCL6/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CXCL6_130w.pdb,5,-94.14,10.32,-71.97,13.76,-221.69,40.11,2681.96,136.46,5.32,3.486,43.8,0.0,0.0,0.0,2611.394,83.306,157.211,13.391,-14.4,2.9e-11
22,SARS-CoV-2-BA.2-N,IL-6,SARS-CoV-2-BA.2-N__IL-6,8,./results/SARS-CoV-2-BA.2-N__IL-6/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IL-6_142w.pdb,2,-102.25,0.35,-71.55,0.6,-307.02,2.56,3768.08,76.98,20.287,0.542,61.0,0.0,0.0,0.0,2771.235,41.595,264.139,7.247,-11.6,2.9e-09
23,SARS-CoV-2-B.1.351-N,CCL7,SARS-CoV-2-B.1.351-N__CCL7,5,./results/SARS-CoV-2-B.1.351-N__CCL7/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL7_146w.pdb,4,-111.77,11.8,-86.98,9.03,-247.93,43.71,3029.84,70.21,15.81,3.258,50.25,0.0,0.0,0.0,3046.448,119.655,182.229,14.148,-13.8,8e-11
24,SARS-CoV-2-B.1.1.529-N,CCL18,SARS-CoV-2-B.1.1.529-N__CCL18,4,./results/SARS-CoV-2-B.1.1.529-N__CCL18/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CCL18_31w.pdb,5,-79.2,5.92,-62.88,5.63,-163.2,50.66,2992.84,151.91,-1.64,4.635,46.8,0.0,0.0,0.0,1845.686,68.566,202.124,19.662,-10.0,4.3e-08
25,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL1,SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL1,3,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL1_135w.pdb,6,-113.73,19.08,-83.27,16.3,-304.61,63.07,2895.2,101.69,21.46,3.997,48.5,0.0,0.0,0.0,2630.33,233.847,166.782,30.751,-9.5,1.1e-07
26,OC43-N,CXCL11,OC43-N__CXCL11,7,./results/OC43-N__CXCL11/run1/structures/it1/water/OC43-N__CXCL11_153w.pdb,5,-86.73,11.34,-59.85,11.98,-268.76,34.84,3471.62,177.57,-11.582,5.683,54.4,0.0,0.0,0.0,2567.39,131.506,221.976,23.207,-11.1,7.1e-09
27,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL18,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL18,3,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL18/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL18_59w.pdb,8,-126.08,13.46,-99.56,10.53,-265.23,47.72,2496.39,157.68,19.928,2.977,43.88,0.0,0.0,0.0,2940.559,234.266,116.964,29.103,-13.1,2.4e-10
28,SARS-CoV-2-BA.2-N,CXCL12alpha,SARS-CoV-2-BA.2-N__CXCL12alpha,7,./results/SARS-CoV-2-BA.2-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CXCL12alpha_113w.pdb,4,-90.69,16.13,-60.08,12.48,-306.08,61.61,2891.0,31.96,24.689,5.639,47.25,0.0,0.0,0.0,2398.695,233.869,192.493,20.139,-14.6,2e-11
29,SARS-CoV-2-WA1-N,CCL20,SARS-CoV-2-WA1-N__CCL20,5,./results/SARS-CoV-2-WA1-N__CCL20/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL20_24w.pdb,4,-108.21,14.23,-71.32,7.11,-368.83,78.92,3351.68,188.88,11.906,3.909,54.75,0.0,0.0,0.0,2727.225,228.128,201.985,34.602,-13.1,2.4e-10
30,SARS-CoV-2-P.1-N,IL-13,SARS-CoV-2-P.1-N__IL-13,2,./results/SARS-CoV-2-P.1-N__IL-13/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL-13_4w.pdb,4,-104.57,21.66,-61.96,21.42,-426.09,42.68,2846.2,401.0,30.605,0.679,45.0,0.0,0.0,0.0,2460.45,299.704,168.044,57.861,-10.8,1.3e-08
31,OC43-N,CCL7,OC43-N__CCL7,3,./results/OC43-N__CCL7/run1/structures/it1/water/OC43-N__CCL7_186w.pdb,10,-105.55,14.83,-70.92,11.75,-346.3,102.92,3457.91,190.05,-19.943,5.831,56.5,0.0,0.0,0.0,3205.15,313.35,185.667,29.691,-12.8,4.3e-10
32,SARS-CoV-2-B.1.1-N,IL-13,SARS-CoV-2-B.1.1-N__IL-13,3,./results/SARS-CoV-2-B.1.1-N__IL-13/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__IL-13_132w.pdb,6,-95.52,7.37,-81.38,7.79,-141.33,29.69,3031.59,208.62,6.507,5.188,52.67,0.0,0.0,0.0,2398.668,66.64,207.674,28.45,-13.3,1.7e-10
33,RaTG13-N,CCL8,RaTG13-N__CCL8,4,./results/RaTG13-N__CCL8/run1/structures/it1/water/RaTG13-N__CCL8_8w.pdb,9,-117.53,7.42,-92.29,8.29,-252.39,34.13,3019.41,228.64,14.697,1.934,50.22,0.0,0.0,0.0,2866.699,219.216,173.871,30.194,-15.4,4.7e-12
34,SARS-CoV-2-XBB-N,CXCL12alpha,SARS-CoV-2-XBB-N__CXCL12alpha,1,./results/SARS-CoV-2-XBB-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL12alpha_108w.pdb,15,-114.85,13.48,-85.42,11.53,-294.34,50.12,2930.79,217.33,10.643,5.654,48.0,0.0,0.0,0.0,2679.495,214.363,159.436,34.706,-10.6,1.6e-08
35,SARS-CoV-2-B.1.1.529-N,CX3CL1,SARS-CoV-2-B.1.1.529-N__CX3CL1,6,./results/SARS-CoV-2-B.1.1.529-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CX3CL1_71w.pdb,2,-83.94,8.24,-66.86,3.59,-170.82,46.49,6000.11,101.45,16.229,2.277,84.0,0.0,0.0,0.0,2728.575,1.375,515.214,20.754,-7.8,1.8e-06
36,SARS-CoV-2-P.1-N,TNFalpha,SARS-CoV-2-P.1-N__TNFalpha,1,./results/SARS-CoV-2-P.1-N__TNFalpha/run1/structures/it1/water/SARS-CoV-2-P.1-N__TNFalpha_36w.pdb,6,-96.97,2.38,-77.0,6.48,-199.75,55.84,3219.65,256.6,13.163,5.422,56.67,0.0,0.0,0.0,2692.942,105.301,209.189,17.361,-11.6,2.9e-09
37,OC43-N,IL-10,OC43-N__IL-10,1,./results/OC43-N__IL-10/run1/structures/it1/water/OC43-N__IL-10_36w.pdb,5,-66.92,3.28,-54.28,5.1,-126.32,20.31,3561.45,171.11,11.236,2.519,54.4,0.0,0.0,0.0,1976.116,77.837,287.834,20.017,-8.1,1.1e-06
38,SARS-CoV-N,IFNA2,SARS-CoV-N__IFNA2,4,./results/SARS-CoV-N__IFNA2/run1/structures/it1/water/SARS-CoV-N__IFNA2_81w.pdb,4,-79.37,7.03,-52.65,5.49,-267.12,23.99,3467.88,85.37,16.405,2.598,59.75,0.0,0.0,0.0,2524.605,172.506,257.114,12.524,-9.8,6.8e-08
39,SARS-CoV-2-XBB-N,CCL3L1,SARS-CoV-2-XBB-N__CCL3L1,1,./results/SARS-CoV-2-XBB-N__CCL3L1/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL3L1_157w.pdb,33,-107.44,13.52,-71.13,12.79,-363.09,58.04,2903.54,187.47,9.754,4.624,46.97,0.0,0.0,0.0,2700.528,187.731,156.356,25.132,-13.6,1e-10
40,SARS-CoV-2-BA.1.1-N,CXCL9,SARS-CoV-2-BA.1.1-N__CXCL9,2,./results/SARS-CoV-2-BA.1.1-N__CXCL9/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CXCL9_130w.pdb,5,-103.37,20.39,-62.07,14.45,-412.99,82.93,3093.18,220.15,25.395,5.792,53.6,0.0,0.0,0.0,3141.706,483.842,190.042,22.3,-13.4,1.6e-10
41,SARS-CoV-2-B.1.1.7-N,CXCL12alpha,SARS-CoV-2-B.1.1.7-N__CXCL12alpha,2,./results/SARS-CoV-2-B.1.1.7-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL12alpha_39w.pdb,6,-111.02,10.56,-68.03,8.26,-429.87,53.81,2943.05,132.48,19.919,2.289,48.83,0.0,0.0,0.0,2637.657,149.629,160.219,25.086,-9.7,7.6e-08
42,SARS-CoV-2-WA1-N,CXCL2,SARS-CoV-2-WA1-N__CXCL2,1,./results/SARS-CoV-2-WA1-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL2_79w.pdb,7,-107.37,11.42,-77.68,9.43,-296.91,48.66,3003.6,149.95,7.587,4.714,50.71,0.0,0.0,0.0,2767.066,192.09,170.886,24.349,-13.9,6.4e-11
43,SARS-CoV-2-B.1.1.7-N,IFNgamma,SARS-CoV-2-B.1.1.7-N__IFNgamma,4,./results/SARS-CoV-2-B.1.1.7-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IFNgamma_4w.pdb,5,-104.45,23.33,-68.89,24.13,-355.58,41.72,3227.62,274.57,9.596,2.615,54.2,0.0,0.0,0.0,2870.416,412.073,192.353,48.022,-12.9,3.4e-10
44,SARS-CoV-2-XBB-N,IL-13,SARS-CoV-2-XBB-N__IL-13,7,./results/SARS-CoV-2-XBB-N__IL-13/run1/structures/it1/water/SARS-CoV-2-XBB-N__IL-13_110w.pdb,4,-82.37,8.7,-60.19,8.43,-221.78,42.99,3010.47,120.48,20.888,2.288,48.5,0.0,0.0,0.0,2233.005,94.117,217.385,10.271,-11.5,3.7e-09
45,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL16,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL16,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL16/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL16_199w.pdb,4,-78.7,7.53,-67.2,8.25,-114.98,12.89,3158.09,125.06,11.377,2.151,53.5,0.0,0.0,0.0,2271.01,224.056,231.854,14.495,-11.6,3e-09
46,SARS-CoV-2-B.1.1-N,CXCL1,SARS-CoV-2-B.1.1-N__CXCL1,5,./results/SARS-CoV-2-B.1.1-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL1_98w.pdb,4,-98.59,5.94,-60.1,7.36,-384.86,19.98,3082.28,248.01,21.848,1.611,48.5,0.0,0.0,0.0,2535.137,98.398,192.999,29.264,-10.9,1e-08
47,SARS-CoV-N,CXCL8,SARS-CoV-N__CXCL8,2,./results/SARS-CoV-N__CXCL8/run1/structures/it1/water/SARS-CoV-N__CXCL8_76w.pdb,16,-83.55,10.5,-61.28,9.96,-222.64,28.28,2954.17,104.89,17.403,3.709,47.94,0.0,0.0,0.0,2111.248,171.455,206.274,12.783,-12.5,6.3e-10
48,SARS-CoV-N,CCL17,SARS-CoV-N__CCL17,5,./results/SARS-CoV-N__CCL17/run1/structures/it1/water/SARS-CoV-N__CCL17_132w.pdb,5,-77.18,9.09,-48.91,9.11,-282.63,53.72,3113.95,206.14,23.692,1.881,50.4,0.0,0.0,0.0,2241.19,157.994,229.647,17.193,-12.0,1.6e-09
49,SARS-CoV-2-BA.2-N,TNFbeta,SARS-CoV-2-BA.2-N__TNFbeta,5,./results/SARS-CoV-2-BA.2-N__TNFbeta/run1/structures/it1/water/SARS-CoV-2-BA.2-N__TNFbeta_57w.pdb,5,-93.8,7.36,-70.82,7.27,-229.79,23.81,3667.04,88.28,-3.852,1.843,63.2,0.0,0.0,0.0,2446.978,79.173,241.907,8.413,-13.1,2.6e-10
50,SARS-CoV-2-B.1.1.529-N,IFNgamma,SARS-CoV-2-B.1.1.529-N__IFNgamma,4,./results/SARS-CoV-2-B.1.1.529-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IFNgamma_73w.pdb,4,-103.27,21.79,-86.17,17.79,-170.94,53.21,3282.31,164.47,-3.521,2.406,55.75,0.0,0.0,0.0,3104.205,466.162,204.348,42.112,-13.1,2.5e-10
51,MERS-CoV-N,CCL3,MERS-CoV-N__CCL3,1,./results/MERS-CoV-N__CCL3/run1/structures/it1/water/MERS-CoV-N__CCL3_118w.pdb,11,-94.28,11.57,-81.85,10.79,-124.31,21.91,3048.89,186.04,-13.078,5.23,46.45,0.0,0.0,0.0,2686.426,149.584,185.096,26.43,-11.8,2.1e-09
52,SARS-CoV-2-XBB-N,CCL4,SARS-CoV-2-XBB-N__CCL4,13,./results/SARS-CoV-2-XBB-N__CCL4/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL4_41w.pdb,4,-114.27,15.26,-85.27,14.03,-290.0,33.05,2577.6,145.85,0.392,3.505,44.5,0.0,0.0,0.0,2629.517,96.382,114.885,33.625,-13.6,1.1e-10
53,SARS-CoV-2-B.1.1.529-N,CXCL3,SARS-CoV-2-B.1.1.529-N__CXCL3,4,./results/SARS-CoV-2-B.1.1.529-N__CXCL3/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CXCL3_154w.pdb,6,-106.17,11.64,-87.46,9.34,-187.14,27.59,3095.18,69.75,5.56,3.081,50.17,0.0,0.0,0.0,2725.648,114.109,190.191,15.721,-13.1,2.3e-10
54,BANAL-20-52-N,IL6,BANAL-20-52-N__IL6,2,./results/BANAL-20-52-N__IL6/run1/structures/it1/water/BANAL-20-52-N__IL6_42w.pdb,4,-90.24,14.29,-52.75,13.95,-374.9,11.68,3185.8,159.2,28.681,1.538,58.0,0.0,0.0,0.0,2641.648,78.11,219.529,12.366,-11.1,7.5e-09
55,SARS-CoV-2-BA.2-N,INFbeta,SARS-CoV-2-BA.2-N__INFbeta,1,./results/SARS-CoV-2-BA.2-N__INFbeta/run1/structures/it1/water/SARS-CoV-2-BA.2-N__INFbeta_121w.pdb,4,-115.13,7.37,-88.23,5.22,-269.0,24.36,3242.72,302.26,-7.013,5.919,56.0,0.0,0.0,0.0,2890.3,176.858,175.232,26.47,-10.6,1.7e-08
56,SARS-CoV-2-BA.2-N,IL-18,SARS-CoV-2-BA.2-N__IL-18,4,./results/SARS-CoV-2-BA.2-N__IL-18/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IL-18_94w.pdb,4,-103.92,7.04,-67.93,5.02,-359.89,70.13,3277.34,86.99,24.211,4.784,53.0,0.0,0.0,0.0,2421.247,66.118,212.04,13.788,-12.3,9.1e-10
57,SARS-CoV-2-B.1.1-N,CXCL11,SARS-CoV-2-B.1.1-N__CXCL11,10,./results/SARS-CoV-2-B.1.1-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL11_43w.pdb,4,-92.17,3.21,-64.67,4.41,-275.0,38.48,2664.22,134.75,-7.113,5.735,46.0,0.0,0.0,0.0,2720.445,112.613,139.639,13.825,-12.6,5.4e-10
58,MERS-CoV-N,CCL5,MERS-CoV-N__CCL5,4,./results/MERS-CoV-N__CCL5/run1/structures/it1/water/MERS-CoV-N__CCL5_148w.pdb,6,-103.35,11.79,-77.13,11.86,-262.17,40.8,3261.11,60.88,7.6,3.08,46.67,0.0,0.0,0.0,3030.782,170.862,204.147,14.976,-12.9,3.2e-10
59,SARS-CoV-2-BQ.1-N,INFA2,SARS-CoV-2-BQ.1-N__INFA2,2,./results/SARS-CoV-2-BQ.1-N__INFA2/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__INFA2_190w.pdb,4,-86.65,19.43,-69.99,14.65,-166.61,58.5,3770.82,138.22,5.801,2.161,65.0,0.0,0.0,0.0,2847.722,363.713,279.575,27.37,-16.1,1.6e-12
60,SARS-CoV-2-B.1.1.529-N,IL-6Ralpha,SARS-CoV-2-B.1.1.529-N__IL-6Ralpha,2,./results/SARS-CoV-2-B.1.1.529-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL-6Ralpha_158w.pdb,2,-72.99,13.67,-57.02,11.34,-159.68,23.37,5649.65,27.45,-3.814,2.676,90.0,0.0,0.0,0.0,2600.855,390.855,495.296,12.513,-11.1,7.8e-09
61,SARS-CoV-2-BA.1.1-N,CXCL2,SARS-CoV-2-BA.1.1-N__CXCL2,7,./results/SARS-CoV-2-BA.1.1-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CXCL2_117w.pdb,4,-104.48,15.32,-77.34,15.26,-271.41,61.9,2784.13,276.09,24.645,8.45,45.5,0.0,0.0,0.0,2590.952,295.518,171.433,38.336,-10.6,1.6e-08
62,SARS-CoV-2-BA.2-N,CCL16,SARS-CoV-2-BA.2-N__CCL16,6,./results/SARS-CoV-2-BA.2-N__CCL16/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL16_161w.pdb,4,-109.24,5.39,-84.08,7.55,-251.59,37.65,3155.07,139.26,1.945,2.743,53.0,0.0,0.0,0.0,2668.977,126.666,183.05,11.265,-12.9,3.8e-10
63,SARS-CoV-2-B.1.351-N,IL-1alpha,SARS-CoV-2-B.1.351-N__IL-1alpha,4,./results/SARS-CoV-2-B.1.351-N__IL-1alpha/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__IL-1alpha_78w.pdb,6,-84.97,6.2,-66.75,8.98,-182.11,38.71,3423.76,264.07,-1.285,2.028,56.67,0.0,0.0,0.0,2735.125,103.359,237.915,29.009,-12.8,4e-10
64,OC43-N,IL-13,OC43-N__IL-13,3,./results/OC43-N__IL-13/run1/structures/it1/water/OC43-N__IL-13_97w.pdb,9,-96.88,7.97,-67.61,6.16,-292.72,47.89,3583.14,178.27,7.758,5.224,58.56,0.0,0.0,0.0,2866.899,212.883,239.918,12.408,-12.7,5.2e-10
65,OC43-N,CCL28,OC43-N__CCL28,3,./results/OC43-N__CCL28/run1/structures/it1/water/OC43-N__CCL28_52w.pdb,4,-84.82,14.36,-57.28,10.57,-275.37,38.78,3138.38,582.71,-24.092,5.083,49.5,0.0,0.0,0.0,2433.648,246.844,177.393,63.123,-11.7,2.5e-09
