,experiment_name,n_protein,cytokine_protein,best_pdb_path,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M
10,SARS-CoV-2-XBB-N_TNFbeta,SARS-CoV-2-XBB-N,TNFbeta,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_TNFbeta/relaxed_model_1_multimer_v3_pred_0.pdb,-7.1,5.8e-06
11,SARS-CoV-2-B.1.1.529-N_IFNA2,SARS-CoV-2-B.1.1.529-N,IFNA2,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_IFNA2/relaxed_model_1_multimer_v3_pred_0.pdb,-13.2,2e-10
12,SARS-CoV-2-XBB-N_IFNgamma,SARS-CoV-2-XBB-N,IFNgamma,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_IFNgamma/relaxed_model_1_multimer_v3_pred_0.pdb,-5.4,0.00011
13,SARS-CoV-2-P.1-N_CCL15,SARS-CoV-2-P.1-N,CCL15,/AF23_complexes/complex_pdbs/SARS-CoV-2-P.1-N_CCL15/relaxed_model_1_multimer_v3_pred_0.pdb,-14.9,1.1e-11
14,SARS-CoV-2-B.1.617.2-DeltaA-N_IL6Ralpha,SARS-CoV-2-B.1.617.2-DeltaA-N,IL6Ralpha,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.617.2-DeltaA-N_IL6Ralpha/relaxed_model_1_multimer_v3_pred_0.pdb,-13.3,1.8e-10
15,SARS-CoV-2-B.1.617.2-DeltaA-N_IL-35,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-35,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-35/relaxed_model_1_multimer_v3_pred_0.pdb,-18.3,3.6e-14
16,SARS-CoV-2-BQ.1-N_CXCL7,SARS-CoV-2-BQ.1-N,CXCL7,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_CXCL7/relaxed_model_1_multimer_v3_pred_0.pdb,-8.0,1.3e-06
17,SARS-CoV-2-B.1.1.529-N_IFNlambda1,SARS-CoV-2-B.1.1.529-N,IFNlambda1,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_IFNlambda1/relaxed_model_1_multimer_v3_pred_0.pdb,-8.0,1.3e-06
18,SARS-CoV-2-WA1-N_CCL13,SARS-CoV-2-WA1-N,CCL13,/AF23_complexes/complex_pdbs/SARS-CoV-2-WA1-N_CCL13/relaxed_model_1_multimer_v3_pred_0.pdb,-7.0,7.1e-06
19,RaTG13-N_CCL19,RaTG13-N,CCL19,/AF23_complexes/complex_pdbs/RaTG13-N_CCL19/relaxed_model_1_multimer_v3_pred_0.pdb,-10.0,4.5e-08
20,BANAL-20-52-N_CCL23,BANAL-20-52-N,CCL23,/AF23_complexes/complex_pdbs/BANAL-20-52-N_CCL23/relaxed_model_1_multimer_v3_pred_0.pdb,-8.8,3.5e-07
21,SARS-CoV-2-B.1.1.529-N_CCL11,SARS-CoV-2-B.1.1.529-N,CCL11,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_CCL11/relaxed_model_1_multimer_v3_pred_0.pdb,-6.9,8.2e-06
22,SARS-CoV-2-BA.2-N_IL-18BP,SARS-CoV-2-BA.2-N,IL-18BP,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_IL-18BP/relaxed_model_1_multimer_v3_pred_0.pdb,-7.4,3.5e-06
23,MERS-CoV-N_IL-27,MERS-CoV-N,IL-27,/AF23_complexes/complex_pdbs/MERS-CoV-N_IL-27/relaxed_model_1_multimer_v3_pred_0.pdb,-20.4,1e-15
24,SARS-CoV-2-BA.2-N_IL-1alpha,SARS-CoV-2-BA.2-N,IL-1alpha,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_IL-1alpha/relaxed_model_1_multimer_v3_pred_0.pdb,-7.5,3.3e-06
25,SARS-CoV-2-BA.1.1-N_CXCL12alpha,SARS-CoV-2-BA.1.1-N,CXCL12alpha,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.1.1-N_CXCL12alpha/relaxed_model_1_multimer_v3_pred_0.pdb,-8.9,3.2e-07
26,BANAL-20-52-N_TNFbeta,BANAL-20-52-N,TNFbeta,/AF23_complexes/complex_pdbs/BANAL-20-52-N_TNFbeta/relaxed_model_1_multimer_v3_pred_0.pdb,-8.3,7.5e-07
27,SARS-CoV-2-BA.1.1-N_CCL8,SARS-CoV-2-BA.1.1-N,CCL8,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.1.1-N_CCL8/relaxed_model_1_multimer_v3_pred_0.pdb,-8.3,7.5e-07
28,OC43-N_CCL27,OC43-N,CCL27,/AF23_complexes/complex_pdbs/OC43-N_CCL27/relaxed_model_1_multimer_v3_pred_0.pdb,-10.1,4.1e-08
29,SARS-CoV-2-XBB-N_CXCL12alpha,SARS-CoV-2-XBB-N,CXCL12alpha,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CXCL12alpha/relaxed_model_1_multimer_v3_pred_0.pdb,-9.0,2.4e-07
30,SARS-CoV-2-BQ.1-N_CCL8,SARS-CoV-2-BQ.1-N,CCL8,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_CCL8/relaxed_model_1_multimer_v3_pred_0.pdb,-8.9,2.9e-07
31,SARS-CoV-N_IL-17a,SARS-CoV-N,IL-17a,/AF23_complexes/complex_pdbs/SARS-CoV-N_IL-17a/relaxed_model_1_multimer_v3_pred_0.pdb,-9.2,1.8e-07
32,SARS-CoV-2-BA.4-N_CXCL6,SARS-CoV-2-BA.4-N,CXCL6,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.4-N_CXCL6/relaxed_model_1_multimer_v3_pred_0.pdb,-9.6,9.4e-08
33,SARS-CoV-2-P.1-N_IL6,SARS-CoV-2-P.1-N,IL6,/AF23_complexes/complex_pdbs/SARS-CoV-2-P.1-N_IL6/relaxed_model_1_multimer_v3_pred_0.pdb,-6.2,2.8e-05
34,SARS-CoV-2-BA.2-N_CCL23,SARS-CoV-2-BA.2-N,CCL23,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_CCL23/relaxed_model_1_multimer_v3_pred_0.pdb,-9.1,2.1e-07
35,SARS-CoV-2-BA.2-N_CXCL2,SARS-CoV-2-BA.2-N,CXCL2,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_CXCL2/relaxed_model_1_multimer_v3_pred_0.pdb,-11.7,2.6e-09
36,OC43-N_CCL5,OC43-N,CCL5,/AF23_complexes/complex_pdbs/OC43-N_CCL5/relaxed_model_1_multimer_v3_pred_0.pdb,-10.3,2.7e-08
37,SARS-CoV-2-BA.4-N_CXCL9,SARS-CoV-2-BA.4-N,CXCL9,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.4-N_CXCL9/relaxed_model_1_multimer_v3_pred_0.pdb,-7.7,2.4e-06
38,SARS-CoV-2-XBB-N_CXCL10,SARS-CoV-2-XBB-N,CXCL10,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CXCL10/relaxed_model_1_multimer_v3_pred_0.pdb,-11.5,3.5e-09
39,SARS-CoV-N_CXCL7,SARS-CoV-N,CXCL7,/AF23_complexes/complex_pdbs/SARS-CoV-N_CXCL7/relaxed_model_1_multimer_v3_pred_0.pdb,-9.9,5.8e-08
40,SARS-CoV-2-B.1.617.2-DeltaA-N_CCL14,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL14,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL14/relaxed_model_1_multimer_v3_pred_0.pdb,-9.9,5.3e-08
41,SARS-CoV-2-B.1.617.2-DeltaA-N_IFNlambda1,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNlambda1,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.617.2-DeltaA-N_IFNlambda1/relaxed_model_1_multimer_v3_pred_0.pdb,-7.8,1.8e-06
42,SARS-CoV-2-BQ.1-N_CCL5,SARS-CoV-2-BQ.1-N,CCL5,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_CCL5/relaxed_model_1_multimer_v3_pred_0.pdb,-11.8,2.2e-09
43,SARS-CoV-N_CCL8,SARS-CoV-N,CCL8,/AF23_complexes/complex_pdbs/SARS-CoV-N_CCL8/relaxed_model_1_multimer_v3_pred_0.pdb,-8.5,5.6e-07
44,OC43-N_CCL3L1,OC43-N,CCL3L1,/AF23_complexes/complex_pdbs/OC43-N_CCL3L1/relaxed_model_1_multimer_v3_pred_0.pdb,-9.6,8.8e-08
45,SARS-CoV-2-B.1.1.7-N_CXCL9,SARS-CoV-2-B.1.1.7-N,CXCL9,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.7-N_CXCL9/relaxed_model_1_multimer_v3_pred_0.pdb,-9.0,2.7e-07
46,OC43-N_CCL1,OC43-N,CCL1,/AF23_complexes/complex_pdbs/OC43-N_CCL1/relaxed_model_1_multimer_v3_pred_0.pdb,-10.9,1.1e-08
47,BANAL-20-52-N_CCL8,BANAL-20-52-N,CCL8,/AF23_complexes/complex_pdbs/BANAL-20-52-N_CCL8/relaxed_model_1_multimer_v3_pred_0.pdb,-7.7,2.1e-06
48,BANAL-20-52-N_CCL16,BANAL-20-52-N,CCL16,/AF23_complexes/complex_pdbs/BANAL-20-52-N_CCL16/relaxed_model_1_multimer_v3_pred_0.pdb,-11.0,8.3e-09
49,SARS-CoV-2-XBB-N_CCL17,SARS-CoV-2-XBB-N,CCL17,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CCL17/relaxed_model_1_multimer_v3_pred_0.pdb,-10.3,2.8e-08
50,SARS-CoV-N_IFNomega,SARS-CoV-N,IFNomega,/AF23_complexes/complex_pdbs/SARS-CoV-N_IFNomega/relaxed_model_1_multimer_v3_pred_0.pdb,-15.7,3.1e-12
51,SARS-CoV-2-B.1.1.529-N_CCL7,SARS-CoV-2-B.1.1.529-N,CCL7,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_CCL7/relaxed_model_1_multimer_v3_pred_0.pdb,-6.9,8.3e-06
52,RaTG13-N_CCL24,RaTG13-N,CCL24,/AF23_complexes/complex_pdbs/RaTG13-N_CCL24/relaxed_model_1_multimer_v3_pred_0.pdb,-9.0,2.4e-07
53,SARS-CoV-2-B.1.1.529-N_IL-27,SARS-CoV-2-B.1.1.529-N,IL-27,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_IL-27/relaxed_model_1_multimer_v3_pred_0.pdb,-12.4,7.4e-10
54,MERS-CoV-N_CCL20,MERS-CoV-N,CCL20,/AF23_complexes/complex_pdbs/MERS-CoV-N_CCL20/relaxed_model_1_multimer_v3_pred_0.pdb,-9.5,1e-07
55,SARS-CoV-2-BQ.1-N_CXCL10,SARS-CoV-2-BQ.1-N,CXCL10,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_CXCL10/relaxed_model_1_multimer_v3_pred_0.pdb,-10.8,1.2e-08
56,SARS-CoV-2-BA.1.1-N_CCL22,SARS-CoV-2-BA.1.1-N,CCL22,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.1.1-N_CCL22/relaxed_model_1_multimer_v3_pred_0.pdb,-10.4,2.2e-08
57,SARS-CoV-2-XBB-N_CCL25,SARS-CoV-2-XBB-N,CCL25,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CCL25/relaxed_model_1_multimer_v3_pred_0.pdb,-12.7,4.8e-10
58,SARS-CoV-2-WA1-N_CCL16,SARS-CoV-2-WA1-N,CCL16,/AF23_complexes/complex_pdbs/SARS-CoV-2-WA1-N_CCL16/relaxed_model_1_multimer_v3_pred_0.pdb,-11.2,6.5e-09
59,SARS-CoV-2-BQ.1-N_IFNlambda1,SARS-CoV-2-BQ.1-N,IFNlambda1,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_IFNlambda1/relaxed_model_1_multimer_v3_pred_0.pdb,-7.9,1.7e-06
60,SARS-CoV-2-BA.1.1-N_CCL14,SARS-CoV-2-BA.1.1-N,CCL14,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.1.1-N_CCL14/relaxed_model_1_multimer_v3_pred_0.pdb,-9.7,7.7e-08
61,SARS-CoV-2-XBB-N_CCL27,SARS-CoV-2-XBB-N,CCL27,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CCL27/relaxed_model_1_multimer_v3_pred_0.pdb,-9.2,1.7e-07
62,SARS-CoV-2-XBB-N_IL-12p70,SARS-CoV-2-XBB-N,IL-12p70,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_IL-12p70/relaxed_model_1_multimer_v3_pred_0.pdb,-18.7,1.8e-14
63,SARS-CoV-2-XBB-N_IFNomega,SARS-CoV-2-XBB-N,IFNomega,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_IFNomega/relaxed_model_1_multimer_v3_pred_0.pdb,-16.6,7e-13
64,BANAL-20-52-N_IL-18,BANAL-20-52-N,IL-18,/AF23_complexes/complex_pdbs/BANAL-20-52-N_IL-18/relaxed_model_1_multimer_v3_pred_0.pdb,-9.8,6e-08
65,SARS-CoV-2-XBB-N_TNFbeta,SARS-CoV-2-XBB-N,TNFbeta,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_TNFbeta/relaxed_model_1_multimer_v3_pred_0.pdb,-7.1,5.8e-06
66,SARS-CoV-2-B.1.1.529-N_IFNA2,SARS-CoV-2-B.1.1.529-N,IFNA2,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_IFNA2/relaxed_model_1_multimer_v3_pred_0.pdb,-13.2,2e-10
67,SARS-CoV-2-XBB-N_IFNgamma,SARS-CoV-2-XBB-N,IFNgamma,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_IFNgamma/relaxed_model_1_multimer_v3_pred_0.pdb,-5.4,0.00011
68,SARS-CoV-2-P.1-N_CCL15,SARS-CoV-2-P.1-N,CCL15,/AF23_complexes/complex_pdbs/SARS-CoV-2-P.1-N_CCL15/relaxed_model_1_multimer_v3_pred_0.pdb,-14.9,1.1e-11
69,SARS-CoV-2-B.1.617.2-DeltaA-N_IL6Ralpha,SARS-CoV-2-B.1.617.2-DeltaA-N,IL6Ralpha,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.617.2-DeltaA-N_IL6Ralpha/relaxed_model_1_multimer_v3_pred_0.pdb,-13.3,1.8e-10
70,SARS-CoV-2-B.1.617.2-DeltaA-N_IL-35,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-35,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-35/relaxed_model_1_multimer_v3_pred_0.pdb,-18.3,3.6e-14
71,SARS-CoV-2-BQ.1-N_CXCL7,SARS-CoV-2-BQ.1-N,CXCL7,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_CXCL7/relaxed_model_1_multimer_v3_pred_0.pdb,-8.0,1.3e-06
72,SARS-CoV-2-B.1.1.529-N_IFNlambda1,SARS-CoV-2-B.1.1.529-N,IFNlambda1,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_IFNlambda1/relaxed_model_1_multimer_v3_pred_0.pdb,-8.0,1.3e-06
73,SARS-CoV-2-WA1-N_CCL13,SARS-CoV-2-WA1-N,CCL13,/AF23_complexes/complex_pdbs/SARS-CoV-2-WA1-N_CCL13/relaxed_model_1_multimer_v3_pred_0.pdb,-7.0,7.1e-06
74,RaTG13-N_CCL19,RaTG13-N,CCL19,/AF23_complexes/complex_pdbs/RaTG13-N_CCL19/relaxed_model_1_multimer_v3_pred_0.pdb,-10.0,4.5e-08
75,BANAL-20-52-N_CCL23,BANAL-20-52-N,CCL23,/AF23_complexes/complex_pdbs/BANAL-20-52-N_CCL23/relaxed_model_1_multimer_v3_pred_0.pdb,-8.8,3.5e-07
76,SARS-CoV-2-B.1.1.529-N_CCL11,SARS-CoV-2-B.1.1.529-N,CCL11,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_CCL11/relaxed_model_1_multimer_v3_pred_0.pdb,-6.9,8.2e-06
77,SARS-CoV-2-BA.2-N_IL-18BP,SARS-CoV-2-BA.2-N,IL-18BP,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_IL-18BP/relaxed_model_1_multimer_v3_pred_0.pdb,-7.4,3.5e-06
78,MERS-CoV-N_IL-27,MERS-CoV-N,IL-27,/AF23_complexes/complex_pdbs/MERS-CoV-N_IL-27/relaxed_model_1_multimer_v3_pred_0.pdb,-20.4,1e-15
79,SARS-CoV-2-BA.2-N_IL-1alpha,SARS-CoV-2-BA.2-N,IL-1alpha,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_IL-1alpha/relaxed_model_1_multimer_v3_pred_0.pdb,-7.5,3.3e-06
80,SARS-CoV-2-BA.1.1-N_CXCL12alpha,SARS-CoV-2-BA.1.1-N,CXCL12alpha,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.1.1-N_CXCL12alpha/relaxed_model_1_multimer_v3_pred_0.pdb,-8.9,3.2e-07
81,BANAL-20-52-N_TNFbeta,BANAL-20-52-N,TNFbeta,/AF23_complexes/complex_pdbs/BANAL-20-52-N_TNFbeta/relaxed_model_1_multimer_v3_pred_0.pdb,-8.3,7.5e-07
82,SARS-CoV-2-BA.1.1-N_CCL8,SARS-CoV-2-BA.1.1-N,CCL8,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.1.1-N_CCL8/relaxed_model_1_multimer_v3_pred_0.pdb,-8.3,7.5e-07
83,OC43-N_CCL27,OC43-N,CCL27,/AF23_complexes/complex_pdbs/OC43-N_CCL27/relaxed_model_1_multimer_v3_pred_0.pdb,-10.1,4.1e-08
84,SARS-CoV-2-XBB-N_CXCL12alpha,SARS-CoV-2-XBB-N,CXCL12alpha,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CXCL12alpha/relaxed_model_1_multimer_v3_pred_0.pdb,-9.0,2.4e-07
85,SARS-CoV-2-BQ.1-N_CCL8,SARS-CoV-2-BQ.1-N,CCL8,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_CCL8/relaxed_model_1_multimer_v3_pred_0.pdb,-8.9,2.9e-07
86,SARS-CoV-N_IL-17a,SARS-CoV-N,IL-17a,/AF23_complexes/complex_pdbs/SARS-CoV-N_IL-17a/relaxed_model_1_multimer_v3_pred_0.pdb,-9.2,1.8e-07
87,SARS-CoV-2-BA.4-N_CXCL6,SARS-CoV-2-BA.4-N,CXCL6,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.4-N_CXCL6/relaxed_model_1_multimer_v3_pred_0.pdb,-9.6,9.4e-08
88,SARS-CoV-2-P.1-N_IL6,SARS-CoV-2-P.1-N,IL6,/AF23_complexes/complex_pdbs/SARS-CoV-2-P.1-N_IL6/relaxed_model_1_multimer_v3_pred_0.pdb,-6.2,2.8e-05
89,SARS-CoV-2-BA.2-N_CCL23,SARS-CoV-2-BA.2-N,CCL23,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_CCL23/relaxed_model_1_multimer_v3_pred_0.pdb,-9.1,2.1e-07
90,SARS-CoV-2-BA.2-N_CXCL2,SARS-CoV-2-BA.2-N,CXCL2,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_CXCL2/relaxed_model_1_multimer_v3_pred_0.pdb,-11.7,2.6e-09
91,OC43-N_CCL5,OC43-N,CCL5,/AF23_complexes/complex_pdbs/OC43-N_CCL5/relaxed_model_1_multimer_v3_pred_0.pdb,-10.3,2.7e-08
92,SARS-CoV-2-BA.4-N_CXCL9,SARS-CoV-2-BA.4-N,CXCL9,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.4-N_CXCL9/relaxed_model_1_multimer_v3_pred_0.pdb,-7.7,2.4e-06
93,SARS-CoV-2-XBB-N_CXCL10,SARS-CoV-2-XBB-N,CXCL10,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CXCL10/relaxed_model_1_multimer_v3_pred_0.pdb,-11.5,3.5e-09
94,SARS-CoV-N_CXCL7,SARS-CoV-N,CXCL7,/AF23_complexes/complex_pdbs/SARS-CoV-N_CXCL7/relaxed_model_1_multimer_v3_pred_0.pdb,-9.9,5.8e-08
95,SARS-CoV-2-B.1.617.2-DeltaA-N_CCL14,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL14,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL14/relaxed_model_1_multimer_v3_pred_0.pdb,-9.9,5.3e-08
96,SARS-CoV-2-B.1.617.2-DeltaA-N_IFNlambda1,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNlambda1,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.617.2-DeltaA-N_IFNlambda1/relaxed_model_1_multimer_v3_pred_0.pdb,-7.8,1.8e-06
97,SARS-CoV-2-BQ.1-N_CCL5,SARS-CoV-2-BQ.1-N,CCL5,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_CCL5/relaxed_model_1_multimer_v3_pred_0.pdb,-11.8,2.2e-09
98,SARS-CoV-N_CCL8,SARS-CoV-N,CCL8,/AF23_complexes/complex_pdbs/SARS-CoV-N_CCL8/relaxed_model_1_multimer_v3_pred_0.pdb,-8.5,5.6e-07
99,OC43-N_CCL3L1,OC43-N,CCL3L1,/AF23_complexes/complex_pdbs/OC43-N_CCL3L1/relaxed_model_1_multimer_v3_pred_0.pdb,-9.6,8.8e-08
100,SARS-CoV-2-B.1.1.7-N_CXCL9,SARS-CoV-2-B.1.1.7-N,CXCL9,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.7-N_CXCL9/relaxed_model_1_multimer_v3_pred_0.pdb,-9.0,2.7e-07
101,OC43-N_CCL1,OC43-N,CCL1,/AF23_complexes/complex_pdbs/OC43-N_CCL1/relaxed_model_1_multimer_v3_pred_0.pdb,-10.9,1.1e-08
102,BANAL-20-52-N_CCL8,BANAL-20-52-N,CCL8,/AF23_complexes/complex_pdbs/BANAL-20-52-N_CCL8/relaxed_model_1_multimer_v3_pred_0.pdb,-7.7,2.1e-06
103,BANAL-20-52-N_CCL16,BANAL-20-52-N,CCL16,/AF23_complexes/complex_pdbs/BANAL-20-52-N_CCL16/relaxed_model_1_multimer_v3_pred_0.pdb,-11.0,8.3e-09
104,SARS-CoV-2-XBB-N_CCL17,SARS-CoV-2-XBB-N,CCL17,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CCL17/relaxed_model_1_multimer_v3_pred_0.pdb,-10.3,2.8e-08
105,SARS-CoV-N_IFNomega,SARS-CoV-N,IFNomega,/AF23_complexes/complex_pdbs/SARS-CoV-N_IFNomega/relaxed_model_1_multimer_v3_pred_0.pdb,-15.7,3.1e-12
106,SARS-CoV-2-B.1.1.529-N_CCL7,SARS-CoV-2-B.1.1.529-N,CCL7,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_CCL7/relaxed_model_1_multimer_v3_pred_0.pdb,-6.9,8.3e-06
107,RaTG13-N_CCL24,RaTG13-N,CCL24,/AF23_complexes/complex_pdbs/RaTG13-N_CCL24/relaxed_model_1_multimer_v3_pred_0.pdb,-9.0,2.4e-07
108,SARS-CoV-2-B.1.1.529-N_IL-27,SARS-CoV-2-B.1.1.529-N,IL-27,/AF23_complexes/complex_pdbs/SARS-CoV-2-B.1.1.529-N_IL-27/relaxed_model_1_multimer_v3_pred_0.pdb,-12.4,7.4e-10
109,MERS-CoV-N_CCL20,MERS-CoV-N,CCL20,/AF23_complexes/complex_pdbs/MERS-CoV-N_CCL20/relaxed_model_1_multimer_v3_pred_0.pdb,-9.5,1e-07
110,SARS-CoV-2-P.1-N_IL-23,SARS-CoV-2-P.1-N,IL-23,/AF23_complexes/complex_pdbs/SARS-CoV-2-P.1-N_IL-23/relaxed_model_1_multimer_v3_pred_0.pdb,-21.2,2.8e-16
111,SARS-CoV-2-BA.2-N_CCL21,SARS-CoV-2-BA.2-N,CCL21,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_CCL21/relaxed_model_1_multimer_v3_pred_0.pdb,-11.7,2.5e-09
112,SARS-CoV-2-BA.2-N_CCL14,SARS-CoV-2-BA.2-N,CCL14,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.2-N_CCL14/relaxed_model_1_multimer_v3_pred_0.pdb,-10.9,1e-08
113,RaTG13-N_CXCL7,RaTG13-N,CXCL7,/AF23_complexes/complex_pdbs/RaTG13-N_CXCL7/relaxed_model_1_multimer_v3_pred_0.pdb,-9.5,1.1e-07
114,SARS-CoV-2-P.1-N_CXCL13,SARS-CoV-2-P.1-N,CXCL13,/AF23_complexes/complex_pdbs/SARS-CoV-2-P.1-N_CXCL13/relaxed_model_1_multimer_v3_pred_0.pdb,-10.6,1.6e-08
