experiment_name,n_protein,cytokine_protein,haddock_best_cluster,haddock_best_pdb_path,haddock_Nstruc,haddock_Evdw+0.1Eelec,haddock_Evdw+0.1Eelec_sd,haddock_Evdw,haddock_Evdw_sd,haddock_Eelec,haddock_Eelec_sd,haddock_Eair,Eair_sd,haddock_Edesolv,haddock_Edesolv_sd,haddock_AIRviol,haddock_AIRviol_sd,haddock_dihedviol,haddock_dihedviol_sd,haddock_BSA,haddock_BSA_sd,haddock-score,haddock-score_sd,haddock_prodigy_deltaG_kcalpermol,haddock_prodigy_dissociation_constant_M,haddock_foldx_intraclashes_group1,haddock_foldx_intraclashes_group2,haddock_foldx_deltaG_kcalpermol,haddock_foldx_stability_group1,haddock_foldx_stability_group2,cytokine_class,dist_from_SARS-CoV-2-WA1-N_A,af2_experiment_name,af2_best_model_pred,af2_iptm+ptm,af2_gdock,af2_total_score,af2_negative_energy,af2_Group1,af2_Group2,af2_IntraclashesGroup1,af2_IntraclashesGroup2,af2_foldx_dG,af2_Backbone Hbond,af2_Sidechain Hbond,af2_Van der Waals,af2_Electrostatics,af2_Solvation Polar,af2_Solvation Hydrophobic,af2_Van der Waals clashes,af2_entropy sidechain,af2_entropy mainchain,af2_sloop_entropy,af2_mloop_entropy,af2_cis_bond,af2_torsional clash,af2_backbone clash,af2_helix dipole,af2_water bridge,af2_disulfide,af2_electrostatic kon,af2_partial covalent bonds,af2_energy Ionisation,af2_Entropy Complex,af2_Number of Residues,af2_Interface Residues,af2_Interface Residues Clashing,af2_Interface Residues VdW Clashing,af2_Interface Residues BB Clashing,af2_wet_hit,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,wa1_wet_hit,oc43_wet_hit,wet_hit
SARS-CoV-2-BQ.1-N__IL-17a,SARS-CoV-2-BQ.1-N,IL-17a,5,./results/SARS-CoV-2-BQ.1-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IL-17a_42w.pdb,4,-106.25,14.28,-74.63,11.93,-316.15,51.31,3127.8,265.79,11.453,4.496,51.5,0,0,0,2938.515,380.938,186.371,27.863,-12.9,3.3e-10,28.6503,8.77257,-16.2204,265.743,64.733,Interleukin,0.10963225241337865,SARS-CoV-2-BQ.1-N__IL-17a,model_1_multimer_v3_pred_2,0.196501218,0.955477484052228,1.15197870179281,FALSE,A,B,14.8626,8.12495,2.48687,-1.82526,-2.71033,-17.0089,-1.14447,29.7548,-20.4341,5.72845,5.52226,3.97549,0,0,0,0.717783,9.47176,-0.16422,0,0,-0.117675,0,0.193084,2.384,548,51,3,2,1,FALSE,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-17a_relaxed_model_1_multimer_v3_pred_2.pdb,-11.6,3.3e-9,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-WA1-N__IFNlambda1,SARS-CoV-2-WA1-N,IFNlambda1,1,./results/SARS-CoV-2-WA1-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-WA1-N__IFNlambda1_25w.pdb,5,-120.89,12.44,-96.5,8.66,-243.93,38.86,3324.57,183.23,2.718,1.374,57.8,0,0,0,3141.538,188.571,189.892,31.347,-11.5,3.8e-9,23.2371,12.5386,-15.5905,262.608,37.8763,Interferon,0,SARS-CoV-2-WA1-N__IFNlambda1,model_1_multimer_v3_pred_0,0.52168608,0.63545656469686,1.1571426444931,TRUE,A,B,18.5305,2.74759,-10.2708,-1.70973,-5.57113,-10.4605,-2.43548,15.2713,-14.6085,1.52349,6.40799,1.68566,0,0,0,0.00442024,2.70913,-0.0541142,0,0,-0.324191,0,1.11e-16,2.384,600,35,0,0,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IFNlambda1_relaxed_model_1_multimer_v3_pred_0.pdb,-7.7,2.1e-6,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-B.1.351-N__IL-17a,SARS-CoV-2-B.1.351-N,IL-17a,5,./results/SARS-CoV-2-B.1.351-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__IL-17a_12w.pdb,4,-126.75,9.22,-105.78,9.2,-209.75,21.19,3132.3,253.92,-3.207,7.526,54.5,0,0,0,3558.715,274.122,162.292,37.136,-15.9,2.1e-12,32.9984,11.6534,-15.3016,276.998,62.1265,Interleukin,0.048853196874603155,SARS-CoV-2-B.1.351-N__IL-17a,model_1_multimer_v3_pred_1,0.188757141,0.94831371717825,1.13707085796288,FALSE,A,B,17.813,7.66567,52.3427,-4.62021,-5.62247,-28.9123,-2.51881,49.3581,-36.7637,59.344,10.1326,10.0119,0,0,0,1.95677,13.6242,-0.729803,0,0,-0.00621222,0,0.712805,2.384,551,57,9,9,3,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-17a_relaxed_model_1_multimer_v3_pred_1.pdb,-14.2,3.9e-11,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-B.1.1.7-N__IL-6Ralpha,SARS-CoV-2-B.1.1.7-N,IL-6Ralpha,1,./results/SARS-CoV-2-B.1.1.7-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-6Ralpha_57w.pdb,3,-196.32,11.27,-145.51,8.71,-508.1,40.79,5133.34,194.73,18,3.86,85,0,0,0,4691.41,115.881,284.202,26.721,-19.4,5.9e-15,22.3723,46.7282,-15.2975,279.784,242.361,Interleukin,0.09770639374920631,SARS-CoV-2-B.1.1.7-N__IL-6Ralpha,model_4_multimer_v3_pred_4,0.22918717,0.989560064086172,1.21874723449963,FALSE,A,B,71.893,54.3816,25.764,-3.19809,-9.87225,-27.6189,-4.79321,46.5015,-30.4082,35.5199,11.9408,6.33365,0,0,-4.44e-16,2.29769,11.5794,0.363145,0,0,-1.30198,0,1.11e-16,2.384,868,74,8,6,2,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IL-6Ralpha_relaxed_model_4_multimer_v3_pred_4.pdb,-15.6,3.4e-12,FALSE,FALSE,Not Wet Hit
BANAL-20-52-N__CXCL9,BANAL-20-52-N,CXCL9,1,./results/BANAL-20-52-N__CXCL9/run1/structures/it1/water/BANAL-20-52-N__CXCL9_92w.pdb,4,-112.18,11.58,-70.45,7.34,-417.29,49.6,3118.41,211.87,11.15,4.441,53.5,0,0,0,3137.915,354.082,169.082,30.223,-13.9,6e-11,21.2266,4.87185,-15.2397,245.502,51.699,α-Chemokine,0.08461621909897774,BANAL-20-52-N__CXCL9,model_3_multimer_v3_pred_2,0.241347809,0.972449918065896,1.21379772745465,FALSE,A,B,28.1007,5.58442,9.46734,-1.12857,-3.0917,-12.2628,-1.59708,21.7632,-15.8017,10.054,6.39031,4.68039,0,0,0,0.369441,8.40651,-4.44e-16,0,0,0.0918129,0,1.39e-17,2.384,522,38,7,3,4,TRUE,./best_AF2_and_GDock/BANAL-20-52-N_CXCL9_relaxed_model_3_multimer_v3_pred_2.pdb,-9.4,1.3e-7,TRUE,TRUE,SARS-CoV-2 Wet Hit
BANAL-20-52-N__CXCL12alpha,BANAL-20-52-N,CXCL12alpha,4,./results/BANAL-20-52-N__CXCL12alpha/run1/structures/it1/water/BANAL-20-52-N__CXCL12alpha_86w.pdb,5,-112.8,16.46,-75.47,19.54,-373.23,33.36,2613.74,185.36,10.31,2.43,45.4,0,0,0,2570.426,262.535,121.566,23.095,-16.1,1.7e-12,26.1812,5.4975,-15.2296,250.059,12.5176,α-Chemokine,0.08461621909897774,BANAL-20-52-N__CXCL12alpha,model_2_multimer_v3_pred_4,0.269312572,0.840650616424554,1.10996318878614,TRUE,A,B,18.8521,9.86057,-0.449574,-5.40812,-11.7081,-22.3249,-1.92242,39.8696,-28.7854,2.49015,15.9595,11.3861,0,0,0,1.13994,16.326,0.00751564,0,-8.88e-16,-1.19321,0,0.0398475,2.384,487,53,6,0,6,FALSE,./best_AF2_and_GDock/BANAL-20-52-N_CXCL12alpha_relaxed_model_2_multimer_v3_pred_4.pdb,-10.7,1.5e-8,FALSE,TRUE,HCoV-OC43 Wet Hit
SARS-CoV-2-WA1-N__CXCL12beta,SARS-CoV-2-WA1-N,CXCL12beta,4,./results/SARS-CoV-2-WA1-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL12beta_165w.pdb,5,-90.49,7.61,-70.82,7.35,-196.73,12,2940.1,86.85,-6.202,5.145,49.2,0,0,0,2882.278,183.622,177.644,10.32,-12.8,4.2e-10,22.3079,3.39029,-15.2045,245.757,27.315,α-Chemokine,0,SARS-CoV-2-WA1-N__CXCL12beta,model_2_multimer_v3_pred_2,0.30889135,0.946506900116156,1.25539824995752,TRUE,A,B,23.4723,8.06723,-11.2618,-3.42846,-8.80779,-19.8554,-2.24436,26.8045,-27.7808,0.853954,15.5122,8.50183,0,0,0,0.192102,2.77228,-0.607445,0,0,-0.428664,0,0.0264883,2.384,491,60,0,0,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL12beta_relaxed_model_2_multimer_v3_pred_2.pdb,-11.9,2e-9,TRUE,TRUE,SARS-CoV-2 Wet Hit
SARS-CoV-2-B.1.1.529-N__CXCL6,SARS-CoV-2-B.1.1.529-N,CXCL6,3,./results/SARS-CoV-2-B.1.1.529-N__CXCL6/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CXCL6_186w.pdb,7,-95.76,14.21,-78.73,13.42,-170.29,18.62,2957.93,265.62,1.015,4.274,52.14,0,0,0,3013.053,208.756,184.018,27.824,-14.4,2.8e-11,24.2607,3.1319,-15.0365,265.415,25.461,α-Chemokine,0.08492077756084468,SARS-CoV-2-B.1.1.529-N__CXCL6,model_5_multimer_v3_pred_4,0.357055536,0.983964978269264,1.34102051446907,TRUE,A,B,35.2217,6.12151,-4.71747,-4.5611,-3.87152,-14.1146,-1.39313,19.5223,-18.4359,4.80674,7.65493,5.76711,0,0,0,0.43984,5.85181,-0.0190318,0,-8.88e-16,-0.5131,0,0,2.384,493,37,2,1,1,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL6_relaxed_model_5_multimer_v3_pred_4.pdb,-10.6,1.7e-8,FALSE,FALSE,Not Wet Hit
MERS-CoV-N__CCL26,MERS-CoV-N,CCL26,7,./results/MERS-CoV-N__CCL26/run1/structures/it1/water/MERS-CoV-N__CCL26_188w.pdb,4,-103.71,10.35,-94.07,10.16,-96.42,65.82,2934.97,213.55,-15.084,3.646,44.25,0,0,0,2858.24,187.19,165.064,10.938,-13.4,1.6e-10,31.7353,7.07761,-14.9618,255.088,35.9492,β-Chemokine,0.6914016023344134,MERS-CoV-N__CCL26,model_4_multimer_v3_pred_0,0.234758303,0.968856034480009,1.20361433752876,FALSE,A,B,20.2028,7.94902,6.11879,-1.88051,-1.92061,-15.7777,-1.88833,26.2369,-19.2524,5.54711,7.79233,8.07772,0,0,0,0.166669,10.2029,0.0310828,0,0,-1.09861,0,0.0851849,2.384,482,48,5,1,4,TRUE,./best_AF2_and_GDock/MERS-CoV-N_CCL26_relaxed_model_4_multimer_v3_pred_0.pdb,-9.5,1e-7,TRUE,TRUE,SARS-CoV-2 Wet Hit
SARS-CoV-2-XBB-N__CXCL14,SARS-CoV-2-XBB-N,CXCL14,2,./results/SARS-CoV-2-XBB-N__CXCL14/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL14_125w.pdb,5,-96,15.53,-61.89,9.97,-341.08,78.9,3006.23,101.21,28.566,7.312,52.2,0,0,0,2502.032,284.11,199.087,20.127,-11.3,4.8e-9,20.2348,3.63309,-14.8659,246.667,15.2058,α-Chemokine,0.10963225241337865,SARS-CoV-2-XBB-N__CXCL14,model_4_multimer_v3_pred_3,0.32930823,0.918831367321437,1.24813959692634,FALSE,A,B,14.7253,1.46651,5.03176,-0.959069,-5.67849,-13.2768,-2.57996,22.7048,-17.2243,9.03891,9.13743,3.47718,0,0,0,0.462018,3.76065,-0.00322986,0,0,-0.113715,0,0.0470652,2.384,493,42,2,2,0,TRUE,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CXCL14_relaxed_model_4_multimer_v3_pred_3.pdb,-9,2.5e-7,TRUE,TRUE,SARS-CoV-2 Wet Hit
SARS-CoV-2-BQ.1-N__CCL4,SARS-CoV-2-BQ.1-N,CCL4,10,./results/SARS-CoV-2-BQ.1-N__CCL4/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL4_119w.pdb,4,-107.44,10.19,-73.86,8.32,-335.82,44.38,2924.99,263.2,1.613,3.304,48.25,0,0,0,2628.812,148.29,153.087,25.717,-12.2,1.1e-9,25.4221,3.15834,-14.6501,261.615,12.9389,β-Chemokine,0.10963225241337865,SARS-CoV-2-BQ.1-N__CCL4,model_4_multimer_v3_pred_4,0.633393434,0.876383667907707,1.50977710224732,TRUE,A,B,19.2091,2.29899,-17.2792,-4.6657400000000004,-8.78169,-21.542,-8.04063,34.3509,-26.1232,2.12389,9.2703,7.50689,0,0,0,0.415789,5.24604,0.0111439,0,0,-1.80484,0,0,2.384,485,70,0,0,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL4_relaxed_model_4_multimer_v3_pred_4.pdb,-12.3,9.7e-10,FALSE,FALSE,Not Wet Hit
OC43-N__CCL5,OC43-N,CCL5,7,./results/OC43-N__CCL5/run1/structures/it1/water/OC43-N__CCL5_1w.pdb,7,-107.02,17.33,-74.59,10.77,-324.31,85.07,3021.42,220.54,-7.898,6.642,50,0,0,0,3161.499,196.504,154.794,40.419,-15.9,2.1e-12,39.2444,4.79184,-14.6212,306.935,12.7622,β-Chemokine,0.7985957062499249,OC43-N__CCL5,model_5_multimer_v3_pred_3,0.577798413,0.930937226124353,1.50873563939176,TRUE,A,B,25.691,7.60441,-0.625663,-4.51925,-16.5647,-35.4311,-5.19933,56.5368,-42.2499,10.3102,19.8428,14.2091,0,0,1.06697,2.65104,10.6795,0,0,8.88e-16,-1.32128,0,0.0430569,2.384,516,87,2,2,1,TRUE,./best_AF2_and_GDock/OC43-N_CCL5_relaxed_model_5_multimer_v3_pred_3.pdb,-15.6,3.8e-12,TRUE,TRUE,SARS-CoV-2 Wet Hit
OC43-N__CCL22,OC43-N,CCL22,3,./results/OC43-N__CCL22/run1/structures/it1/water/OC43-N__CCL22_61w.pdb,5,-116.73,9.08,-83.96,11.15,-327.74,52.73,3529.71,243.1,-8.912,4.672,54.4,0,0,0,2940.814,201.813,194.555,22.775,-16,1.7e-12,31.8881,4.75422,-14.6042,300.905,25.4481,β-Chemokine,0.7985957062499249,OC43-N__CCL22,model_2_multimer_v3_pred_2,0.46735819,0.892194564903938,1.35955275452788,TRUE,A,B,26.3117,7.88502,-9.93429,-2.87209,-5.85426,-26.5646,-5.72884,34.6346,-36.2464,9.42403,15.8057,9.0871,0,0,0,0.202759,4.74322,-0.369142,0,0,-1.45752,0,0.00444217,2.384,517,91,2,2,0,FALSE,./best_AF2_and_GDock/OC43-N_CCL22_relaxed_model_2_multimer_v3_pred_2.pdb,-14.9,1.1e-11,FALSE,FALSE,Not Wet Hit
