protein_A,protein_B,experiment,model,iptm+ptm,Interaction Energy,Pdb,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,wet_hit,is_max
SARS-CoV-2-P.1-N,IL-27,SARS-CoV-2-P.1-N_IL-27,model_2_multimer_v3_pred_1,0.440348675,-36.1351,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-P.1-N_IL-27/relaxed_model_2_multimer_v3_pred_1_Repair.pdb,B,C,8.67,8.25,-6.16212,-10.3735,-27.1016,-4.40864,28.2634,-37.9681,2.84984,14.5988,6.73991,0,0,0,0.0781531,4.69566,-0.983026,0,0,-1.72421,0,0.055996,2.384,843,69,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1-N,IL-35,SARS-CoV-2-B.1.1-N_IL-35,model_1_multimer_v3_pred_2,0.557918061,-36.0714,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1-N_IL-35/relaxed_model_1_multimer_v3_pred_2_Repair.pdb,A,B,26.3895,4.44799,-4.58288,-5.64444,-25.2508,-3.06893,22.542,-41.0186,1.84122,18.6516,1.68115,0,0,0,0.145352,6.09309,-0.15863,0,0,-1.20848,0,0,2.384,735,76,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.351-N,IL-35,SARS-CoV-2-B.1.351-N_IL-35,model_1_multimer_v3_pred_4,0.656688901,-35.4187,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.351-N_IL-35/relaxed_model_1_multimer_v3_pred_4_Repair.pdb,A,B,59.9705,4.29411,-2.88025,-2.91899,-27.2757,-2.3653,23.9337,-45.1627,0.699682,18.0521,2.45674,0,0,0,0.0719599,5.71687,0.455681,0,0,-0.48548,0,-5.55E-17,2.384,735,73,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1-N,IL-27,SARS-CoV-2-B.1.1-N_IL-27,model_2_multimer_v3_pred_2,0.439369497,-35.2277,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1-N_IL-27/relaxed_model_2_multimer_v3_pred_2_Repair.pdb,B,C,6.69,7.18,-5.85182,-10.0372,-26.8436,-4.4702,27.895,-37.5872,2.40543,15.0932,6.71331,0,0,0,0.119535,4.65618,-0.938635,0,0,-1.76056,0,0.0351585,2.384,843,67,0,0,0,FALSE,TRUE
MERS-CoV-N,IL-27,MERS-CoV-N_IL-27,model_4_multimer_v3_pred_4,0.445684118,-34.8574,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/MERS-CoV-N_IL-27/relaxed_model_4_multimer_v3_pred_4_Repair.pdb,B,C,6.47,7.33,-6.32857,-10.3283,-24.954,-4.43383,26.9347,-34.4465,1.03277,14.3496,5.84913,0,0,0,0.0733711,4.20668,-0.927362,0,0,-1.6981,0,0.0198339,2.384,835,66,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.529-N,IL-35,SARS-CoV-2-B.1.1.529-N_IL-35,model_1_multimer_v3_pred_1,0.627755742,-34.1326,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.529-N_IL-35/relaxed_model_1_multimer_v3_pred_1_Repair.pdb,A,B,67.7432,5.95669,-3.97831,-12.8166,-35.8288,-2.08462,36.8787,-53.9438,8.54156,22.7276,5.93616,0,0,0,0.798233,11.0183,0.0463782,0,0,-0.489138,0,0.0800181,2.384,732,85,1,1,0,FALSE,TRUE
SARS-CoV-2-B.1.1.7-N,IFNA2,SARS-CoV-2-B.1.1.7-N_IFNA2,model_4_multimer_v3_pred_3,0.736368531,-34.0353,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.7-N_IFNA2/relaxed_model_4_multimer_v3_pred_3_Repair.pdb,A,B,65.3476,4.29784,-4.09536,-10.2742,-28.2559,-1.37499,29.9572,-41.9541,1.63902,18.6725,3.18128,0,0,0.016181,0.213484,6.10316,-1.5236,0,0,-0.350672,0,0.113826,2.384,584,71,0,0,0,FALSE,TRUE
SARS-CoV-2-BA.4-N,IFNA2,SARS-CoV-2-BA.4-N_IFNA2,model_4_multimer_v3_pred_0,0.70205615,-33.4629,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.4-N_IFNA2/relaxed_model_4_multimer_v3_pred_0_Repair.pdb,A,B,31.5016,5.67189,-4.16461,-14.5251,-24.7505,-5.61542,28.0927,-37.4735,1.45285,20.5145,3.25647,0,0,0,0.201338,5.82607,0.337479,0,0,-0.902863,0,0.113826,2.384,581,66,0,0,0,FALSE,TRUE
BANAL-20-52-N,IL-35,BANAL-20-52-N_IL-35,model_5_multimer_v3_pred_0,0.556684137,-32.3158,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/BANAL-20-52-N_IL-35/relaxed_model_5_multimer_v3_pred_0_Repair.pdb,A,B,17.6811,4.81199,-2.71169,-4.19027,-20.21,-1.27506,14.0109,-35.4046,2.2048,14.1453,0.309269,0,0,0,0.846683,5.12721,0.571148,0,0,-0.612262,0,5.55E-17,2.384,735,60,0,0,0,FALSE,TRUE
SARS-CoV-2-WA1-N,IL-27,SARS-CoV-2-WA1-N_IL-27,model_4_multimer_v3_pred_0,0.444262725,-31.9074,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-WA1-N_IL-27/relaxed_model_4_multimer_v3_pred_0_Repair.pdb,B,C,5.99,8.15,-6.73235,-8.38402,-24.7405,-4.41854,26.853,-34.0531,1.98424,14.0634,5.96276,0,0,0,0.031629,3.83817,-0.93083,0,0,-1.57223,0,0.0291887,2.384,843,66,0,0,0,FALSE,TRUE
BANAL-20-52-N,IFNA2,BANAL-20-52-N_IFNA2,model_4_multimer_v3_pred_2,0.717233838,-30.86,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/BANAL-20-52-N_IFNA2/relaxed_model_4_multimer_v3_pred_2_Repair.pdb,A,B,16.9537,7.41255,-2.9842,-9.95615,-24.5637,-1.42924,24.5276,-38.2445,1.70113,18.2682,2.89038,0,0,0,0.275636,4.10398,-0.813813,0,0,-0.639865,0,0.108531,2.384,584,69,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.351-N,IFNA2,SARS-CoV-2-B.1.351-N_IFNA2,model_4_multimer_v3_pred_4,0.366387484,-30.737,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.351-N_IFNA2/relaxed_model_4_multimer_v3_pred_4_Repair.pdb,A,B,17.3452,10.1624,-6.51389,-17.4671,-46.471,-11.5968,68.1782,-62.2232,8.77801,28.3077,9.90168,0,0,0,1.17755,11.5877,-0.164932,0,0,-2.75033,0,0.107025,2.384,584,118,4,2,2,FALSE,TRUE
SARS-CoV-2-B.1.617.2-DeltaA-N,IFNA2,SARS-CoV-2-B.1.617.2-DeltaA-N_IFNA2,model_4_multimer_v3_pred_0,0.688186088,-30.5759,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.617.2-DeltaA-N_IFNA2/relaxed_model_4_multimer_v3_pred_0_Repair.pdb,A,B,46.6901,7.88215,-3.84325,-7.96722,-26.2555,-2.36381,27.8556,-39.5112,3.94862,15.4606,3.08025,0,0,0,0.320527,6.01311,-0.815092,0,0,-0.599306,0,0.113826,2.384,584,67,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.617.2-DeltaA-N,IL-35,SARS-CoV-2-B.1.617.2-DeltaA-N_IL-35,model_1_multimer_v3_pred_0,0.583615959,-30.5406,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-35/relaxed_model_1_multimer_v3_pred_0_Repair.pdb,A,B,62.5151,3.24559,-2.67446,-7.48276,-27.722,-3.49833,32.355,-43.1429,3.2681,16.3944,1.93456,0,0,0,0.709133,6.07729,-0.0703227,0,0,-0.610904,0,-6.94E-18,2.384,735,73,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.351-N,IFNomega,SARS-CoV-2-B.1.351-N_IFNomega,model_2_multimer_v3_pred_0,0.307752421,-30.2579,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.351-N_IFNomega/relaxed_model_2_multimer_v3_pred_0_Repair.pdb,A,B,56.4012,7.13253,-4.10865,-7.15003,-25.9379,-3.49634,27.965,-38.7629,2.89134,14.7675,4.4995,0,0,0,0.520694,4.89989,-0.315059,0,0,-1.15937,0,0.0284177,2.384,593,75,0,0,0,FALSE,TRUE
MERS-CoV-N,CXCL7,MERS-CoV-N_CXCL7,model_2_multimer_v3_pred_3,0.643257083,-30.0758,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/MERS-CoV-N_CXCL7/relaxed_model_2_multimer_v3_pred_3_Repair.pdb,A,B,12.4967,2.54929,-7.6746,-14.3025,-28.7561,-3.0758,34.9369,-43.3096,6.34236,22.1011,4.82397,0,0,0,0.0652843,5.34059,-0.144844,0,8.88E-16,-1.08201,0,5.55E-17,2.384,505,87,2,2,0,FALSE,TRUE
SARS-CoV-2-BA.1.1-N,IFNA2,SARS-CoV-2-BA.1.1-N_IFNA2,model_4_multimer_v3_pred_1,0.71859956,-29.6046,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.1.1-N_IFNA2/relaxed_model_4_multimer_v3_pred_1_Repair.pdb,A,B,85.256,7.32472,-3.34237,-10.0575,-22.7763,-3.17154,22.4361,-35.4828,4.86861,17.3394,1.53013,0,0,0,0.27633,4.20291,-0.706331,0,0,-0.6322,0,0.113826,2.384,581,63,0,0,0,FALSE,TRUE
SARS-CoV-2-WA1-N,IL-35,SARS-CoV-2-WA1-N_IL-35,model_1_multimer_v3_pred_1,0.679182849,-29.4828,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-WA1-N_IL-35/relaxed_model_1_multimer_v3_pred_1_Repair.pdb,A,B,24.4694,4.08406,-2.40321,-6.94595,-18.3114,-2.08093,15.7603,-30.7333,0.875295,14.5068,0.372327,0,0,0,0.118468,4.27463,0.195885,0,0,-0.837118,0,4.86E-17,2.384,735,52,0,0,0,FALSE,TRUE
MERS-CoV-N,CXCL6,MERS-CoV-N_CXCL6,model_4_multimer_v3_pred_1,0.733434805,-29.3557,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/MERS-CoV-N_CXCL6/relaxed_model_4_multimer_v3_pred_1_Repair.pdb,A,B,8.00479,1.90983,-4.23167,-11.6333,-23.7209,-1.53207,24.7546,-36.2494,0.944239,18.9181,3.57743,0,0,0,0.153943,3.37709,0.110961,0,0,-0.447601,0,0,2.384,488,79,0,0,0,FALSE,TRUE
OC43-N,IFNA2,OC43-N_IFNA2,model_4_multimer_v3_pred_2,0.432599615,-28.4464,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/OC43-N_IFNA2/relaxed_model_4_multimer_v3_pred_2_Repair.pdb,A,B,24.289,10.0074,-8.16964,-16.633,-37.0519,-7.56514,49.4063,-48.2143,11.2179,22.7982,6.93846,0,0,0,0.325434,6.49224,0.0604392,0,0,-1.6236,0,0.0644793,2.384,613,130,3,3,0,FALSE,TRUE
SARS-CoV-2-BA.2-N,IL-35,SARS-CoV-2-BA.2-N_IL-35,model_1_multimer_v3_pred_3,0.569758987,-28.2204,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.2-N_IL-35/relaxed_model_1_multimer_v3_pred_3_Repair.pdb,B,C,3.8,5.13,-2.52803,-7.84831,-21.0894,-4.16668,22.3035,-29.4727,0.530158,12.0364,3.34017,0,0,0,0.0626083,4.72135,-0.320251,0,0,-1.06783,0,0,2.384,732,53,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.7-N,IL-35,SARS-CoV-2-B.1.1.7-N_IL-35,model_1_multimer_v3_pred_1,0.669118451,-27.9105,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.7-N_IL-35/relaxed_model_1_multimer_v3_pred_1_Repair.pdb,B,C,3.39,7.93,-1.88291,-7.27977,-20.7174,-4.29384,22.236,-28.9318,0.822837,11.0649,2.35619,0,0,0,0.0790116,3.96588,-0.305473,0,0,-1.05834,0,0,2.384,735,53,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.617.2-DeltaA-N,IL-35,SARS-CoV-2-B.1.617.2-DeltaA-N_IL-35,model_1_multimer_v3_pred_0,0.583615959,-27.7764,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-35/relaxed_model_1_multimer_v3_pred_0_Repair.pdb,B,C,3.25,7,-2.58461,-8.06204,-21.6005,-3.74742,22.9781,-29.926,1.01171,12.3704,3.2179,0,0,0,0.0371765,4.62474,-0.40145,0,0,-1.06963,0,0,2.384,735,53,0,0,0,FALSE,TRUE
SARS-CoV-2-P.1-N,IL-35,SARS-CoV-2-P.1-N_IL-35,model_1_multimer_v3_pred_1,0.514304749,-27.5616,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-P.1-N_IL-35/relaxed_model_1_multimer_v3_pred_1_Repair.pdb,A,B,31.0362,5.65176,-3.2961,-5.24055,-38.094,-2.65678,35.7672,-62.6713,18.3745,23.8276,6.04351,0,0,0,0.983614,17.9981,0.510313,0,0,-1.10959,0,0,2.384,735,91,9,7,3,FALSE,TRUE
OC43-N,IL-18BP,OC43-N_IL-18BP,model_1_multimer_v3_pred_1,0.642034486,-26.8336,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/OC43-N_IL-18BP/relaxed_model_1_multimer_v3_pred_1_Repair.pdb,A,B,26.6134,4.21024,-7.02521,-14.6638,-25.5305,-4.78191,35.5192,-33.3672,0.585355,15.9089,7.14158,0,0,-6.66E-16,0.10404,3.70351,-0.0466009,0,0,-0.721539,0,0.0441545,2.384,612,70,0,0,0,FALSE,TRUE
OC43-N,IFNbeta,OC43-N_IFNbeta,model_2_multimer_v3_pred_0,0.621165687,-26.8242,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/OC43-N_IFNbeta/relaxed_model_2_multimer_v3_pred_0_Repair.pdb,A,B,40.0331,7.76449,-4.48372,-12.7515,-24.6531,-5.03717,30.377,-32.3811,1.59014,17.8783,4.3723,0,0,0,0.0994119,4.49229,-0.604856,0,-8.88E-16,-1.31496,0,0.0851167,2.384,614,89,0,0,0,FALSE,TRUE
SARS-CoV-2-BA.1.1-N,IL-35,SARS-CoV-2-BA.1.1-N_IL-35,model_2_multimer_v3_pred_0,0.599562698,-26.6863,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.1.1-N_IL-35/relaxed_model_2_multimer_v3_pred_0_Repair.pdb,B,C,6.46,6.22,-1.9262,-6.50687,-20.9771,-4.20529,23.1,-28.8757,0.681291,10.6412,2.70115,0,0,0,0.0536816,4.44233,-0.301037,0,0,-1.07152,0,0,2.384,732,53,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.351-N,IL-35,SARS-CoV-2-B.1.351-N_IL-35,model_1_multimer_v3_pred_4,0.656688901,-26.6283,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.351-N_IL-35/relaxed_model_1_multimer_v3_pred_4_Repair.pdb,B,C,4.29,5.93,-2.05804,-4.95691,-21.7455,-4.00747,23.2894,-30.3768,0.499268,10.9322,3.1005,0,0,0,0.0215614,4.4558,-0.288528,0,0,-1.03799,0,0,2.384,735,51,0,0,0,FALSE,TRUE
