experiment_name,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,af2_foldx_dG
SARS-CoV-2-BQ.1-N_CXCL3,SARS-CoV-2-BQ.1-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL3_relaxed_model_4_multimer_v3_pred_4.pdb,-13.5,1.30E-10,-5.82256
SARS-CoV-2-BQ.1-N_IL-27,SARS-CoV-2-BQ.1-N,IL-27,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-27_relaxed_model_4_multimer_v3_pred_2.pdb,-16.9,3.90E-13,20.3519
OC43-N_CCL21,OC43-N,CCL21,./best_AF2_and_GDock/OC43-N_CCL21_relaxed_model_3_multimer_v3_pred_4.pdb,-16,1.70E-12,2.40353
BANAL-20-52-N_CXCL8,BANAL-20-52-N,CXCL8,./best_AF2_and_GDock/BANAL-20-52-N_CXCL8_relaxed_model_4_multimer_v3_pred_2.pdb,-13.4,1.50E-10,-9.40449
SARS-CoV-2-B.1.1.529-N_IL-1beta,SARS-CoV-2-B.1.1.529-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-1beta_relaxed_model_3_multimer_v3_pred_4.pdb,-10.2,3.50E-08,-10.5919
SARS-CoV-2-BA.1.1-N_CCL7,SARS-CoV-2-BA.1.1-N,CCL7,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL7_relaxed_model_3_multimer_v3_pred_0.pdb,-8.8,3.60E-07,2.76559
SARS-CoV-2-B.1.1.7-N_CX3CL1,SARS-CoV-2-B.1.1.7-N,CX3CL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CX3CL1_relaxed_model_3_multimer_v3_pred_1.pdb,-14.5,2.40E-11,-11.1427
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL6,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL6,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL6_relaxed_model_3_multimer_v3_pred_2.pdb,-9.4,1.20E-07,-11.5836
SARS-CoV-2-WA1-N_CCL7,SARS-CoV-2-WA1-N,CCL7,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL7_relaxed_model_5_multimer_v3_pred_4.pdb,-12.9,3.50E-10,0.972549
SARS-CoV-2-BA.4-N_CCL18,SARS-CoV-2-BA.4-N,CCL18,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL18_relaxed_model_3_multimer_v3_pred_0.pdb,-12.3,9.60E-10,-1.30952
SARS-CoV-2-B.1.617.2-DeltaA-N_TNFalpha,SARS-CoV-2-B.1.617.2-DeltaA-N,TNFalpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_TNFalpha_relaxed_model_4_multimer_v3_pred_4.pdb,-15.7,3.20E-12,-9.53165
SARS-CoV-2-B.1.1.7-N_CXCL11,SARS-CoV-2-B.1.1.7-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL11_relaxed_model_3_multimer_v3_pred_3.pdb,-10.6,1.70E-08,-15.5272
SARS-CoV-2-BA.2-N_CCL2,SARS-CoV-2-BA.2-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL2_relaxed_model_3_multimer_v3_pred_1.pdb,-15.3,5.90E-12,-10.3877
SARS-CoV-2-BA.1.1-N_CCL15,SARS-CoV-2-BA.1.1-N,CCL15,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL15_relaxed_model_2_multimer_v3_pred_1.pdb,-12.1,1.40E-09,-3.62232
MERS-CoV-N_CCL20,MERS-CoV-N,CCL20,./best_AF2_and_GDock/MERS-CoV-N_CCL20_relaxed_model_3_multimer_v3_pred_3.pdb,-27.6,6.10E-21,-1.89711
SARS-CoV-2-B.1.1-N_IL-23,SARS-CoV-2-B.1.1-N,IL-23,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-23_relaxed_model_3_multimer_v3_pred_0.pdb,-29.1,4.70E-22,-0.0384698
SARS-CoV-2-BA.4-N_CXCL11,SARS-CoV-2-BA.4-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL11_relaxed_model_3_multimer_v3_pred_4.pdb,-13.3,1.70E-10,-23.343
SARS-CoV-2-BQ.1-N_CXCL10,SARS-CoV-2-BQ.1-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL10_relaxed_model_3_multimer_v3_pred_0.pdb,-11.3,5.40E-09,-7.58146
SARS-CoV-2-BA.1.1-N_IL-6Ralpha,SARS-CoV-2-BA.1.1-N,IL-6Ralpha,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-6Ralpha_relaxed_model_4_multimer_v3_pred_4.pdb,-14.4,2.70E-11,-9.7154
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-23,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-23,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-23_relaxed_model_3_multimer_v3_pred_4.pdb,-27.3,8.70E-21,-1.28848
SARS-CoV-2-BA.4-N_CXCL5,SARS-CoV-2-BA.4-N,CXCL5,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL5_relaxed_model_3_multimer_v3_pred_3.pdb,-9.5,1.00E-07,-12.1669
OC43-N_CXCL3,OC43-N,CXCL3,./best_AF2_and_GDock/OC43-N_CXCL3_relaxed_model_2_multimer_v3_pred_4.pdb,-11.6,3.10E-09,-18.2034
SARS-CoV-2-BQ.1-N_CXCL12beta,SARS-CoV-2-BQ.1-N,CXCL12beta,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL12beta_relaxed_model_2_multimer_v3_pred_1.pdb,-19.5,4.90E-15,-12.9632
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL7,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL7_relaxed_model_1_multimer_v3_pred_3.pdb,-9.4,1.40E-07,-8.38148
BANAL-20-52-N_XCL1,BANAL-20-52-N,XCL1,./best_AF2_and_GDock/BANAL-20-52-N_XCL1_relaxed_model_3_multimer_v3_pred_2.pdb,-11.3,5.10E-09,-1.24133
SARS-CoV-2-BA.2-N_CXCL4,SARS-CoV-2-BA.2-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL4_relaxed_model_3_multimer_v3_pred_2.pdb,-11.5,3.80E-09,-5.9459
SARS-CoV-2-B.1.1-N_CXCL10,SARS-CoV-2-B.1.1-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL10_relaxed_model_3_multimer_v3_pred_0.pdb,-8.9,2.90E-07,-7.72258
SARS-CoV-2-P.1-N_CCL19,SARS-CoV-2-P.1-N,CCL19,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL19_relaxed_model_2_multimer_v3_pred_0.pdb,-11.5,3.60E-09,13.1564
SARS-CoV-2-B.1.1.7-N_CCL16,SARS-CoV-2-B.1.1.7-N,CCL16,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL16_relaxed_model_3_multimer_v3_pred_2.pdb,-14.7,1.80E-11,2.52258
SARS-CoV-2-WA1-N_CCL23,SARS-CoV-2-WA1-N,CCL23,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL23_relaxed_model_3_multimer_v3_pred_0.pdb,-14.1,4.30E-11,-5.98199
SARS-CoV-2-BQ.1-N_CCL1,SARS-CoV-2-BQ.1-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL1_relaxed_model_5_multimer_v3_pred_2.pdb,-12,1.50E-09,6.97432
SARS-CoV-2-B.1.1-N_XCL1,SARS-CoV-2-B.1.1-N,XCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_XCL1_relaxed_model_3_multimer_v3_pred_1.pdb,-13.4,1.50E-10,-1.12139
SARS-CoV-2-BA.1.1-N_CCL23,SARS-CoV-2-BA.1.1-N,CCL23,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL23_relaxed_model_4_multimer_v3_pred_2.pdb,-14.7,1.70E-11,-9.16407
SARS-CoV-2-P.1-N_CCL11,SARS-CoV-2-P.1-N,CCL11,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL11_relaxed_model_3_multimer_v3_pred_2.pdb,-13.8,7.30E-11,-2.65015
SARS-CoV-2-WA1-N_CCL14,SARS-CoV-2-WA1-N,CCL14,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL14_relaxed_model_3_multimer_v3_pred_4.pdb,-14.2,3.70E-11,26.724
SARS-CoV-2-B.1.1-N_CCL17,SARS-CoV-2-B.1.1-N,CCL17,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL17_relaxed_model_4_multimer_v3_pred_3.pdb,-14.6,2.00E-11,1.71762
SARS-CoV-2-BQ.1-N_CXCL9,SARS-CoV-2-BQ.1-N,CXCL9,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL9_relaxed_model_3_multimer_v3_pred_1.pdb,-10.1,4.20E-08,-2.18747
SARS-CoV-2-BA.4-N_CCL28,SARS-CoV-2-BA.4-N,CCL28,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL28_relaxed_model_4_multimer_v3_pred_0.pdb,-20.1,1.80E-15,-7.54372
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL4L1,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL4L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL4L1_relaxed_model_4_multimer_v3_pred_0.pdb,-9.9,5.80E-08,-3.31606
SARS-CoV-2-BQ.1-N_CCL2,SARS-CoV-2-BQ.1-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL2_relaxed_model_3_multimer_v3_pred_4.pdb,-14.3,3.50E-11,-8.72139
SARS-CoV-2-BA.2-N_CXCL12alpha,SARS-CoV-2-BA.2-N,CXCL12alpha,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL12alpha_relaxed_model_4_multimer_v3_pred_2.pdb,-12.2,1.10E-09,-13.1225
SARS-CoV-N_CCL8,SARS-CoV-N,CCL8,./best_AF2_and_GDock/SARS-CoV-N_CCL8_relaxed_model_4_multimer_v3_pred_0.pdb,-19.2,8.00E-15,1.53136
SARS-CoV-2-BA.4-N_IL-18,SARS-CoV-2-BA.4-N,IL-18,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-18_relaxed_model_5_multimer_v3_pred_2.pdb,-23.1,1.20E-17,1.39036
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL13,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL13,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL13_relaxed_model_4_multimer_v3_pred_4.pdb,-10.6,1.80E-08,-9.04936
SARS-CoV-2-B.1.1-N_CCL7,SARS-CoV-2-B.1.1-N,CCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL7_relaxed_model_3_multimer_v3_pred_2.pdb,-9.4,1.20E-07,4.3507
RaTG13-N_CCL4,RaTG13-N,CCL4,./best_AF2_and_GDock/RaTG13-N_CCL4_relaxed_model_4_multimer_v3_pred_4.pdb,-12.6,5.60E-10,-19.2905
RaTG13-N_CCL20,RaTG13-N,CCL20,./best_AF2_and_GDock/RaTG13-N_CCL20_relaxed_model_2_multimer_v3_pred_3.pdb,-17.9,7.00E-14,0.40263
BANAL-20-52-N_CCL13,BANAL-20-52-N,CCL13,./best_AF2_and_GDock/BANAL-20-52-N_CCL13_relaxed_model_4_multimer_v3_pred_1.pdb,-10,4.90E-08,-9.32143
SARS-CoV-2-BA.1.1-N_CCL24,SARS-CoV-2-BA.1.1-N,CCL24,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL24_relaxed_model_4_multimer_v3_pred_4.pdb,-11.4,4.70E-09,0.508904
SARS-CoV-2-B.1.1.529-N_XCL1,SARS-CoV-2-B.1.1.529-N,XCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_XCL1_relaxed_model_4_multimer_v3_pred_4.pdb,-11.5,3.50E-09,3.25634
SARS-CoV-2-XBB-N_IFNlambda1,SARS-CoV-2-XBB-N,IFNlambda1,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IFNlambda1_relaxed_model_3_multimer_v3_pred_1.pdb,-15.6,3.60E-12,-13.2426
SARS-CoV-2-B.1.1-N_CXCL13,SARS-CoV-2-B.1.1-N,CXCL13,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL13_relaxed_model_4_multimer_v3_pred_4.pdb,-12.8,4.20E-10,-1.96354
OC43-N_CXCL2,OC43-N,CXCL2,./best_AF2_and_GDock/OC43-N_CXCL2_relaxed_model_4_multimer_v3_pred_2.pdb,-13.7,8.20E-11,-6.52842
SARS-CoV-N_CCL19,SARS-CoV-N,CCL19,./best_AF2_and_GDock/SARS-CoV-N_CCL19_relaxed_model_3_multimer_v3_pred_2.pdb,-10.5,1.90E-08,-1.41012
SARS-CoV-2-BQ.1-N_CCL23,SARS-CoV-2-BQ.1-N,CCL23,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL23_relaxed_model_2_multimer_v3_pred_1.pdb,-9.3,1.40E-07,-6.71525
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL14,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL14,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL14_relaxed_model_3_multimer_v3_pred_3.pdb,-10.6,1.60E-08,0.401511
SARS-CoV-2-WA1-N_IL-12p70,SARS-CoV-2-WA1-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-12p70_relaxed_model_2_multimer_v3_pred_3.pdb,-30.8,2.60E-23,-11.6017
