experiment	model	iptm+ptm	gdock	n_protein	cytokine	wet_hit	total_score	negative_energy
SARS-CoV-2-B.1.1.529-N_CCL3L1	model_4_multimer_v3_pred_4	0.727910727699086	0.671625222687251	SARS-CoV-2-B.1.1.529-N	CCL3L1	False	1.399535950386337	True
SARS-CoV-2-B.1.351-N_CCL3	model_4_multimer_v3_pred_2	0.72658997288809	0.697663670763798	SARS-CoV-2-B.1.351-N	CCL3	False	1.424253643651888	True
SARS-CoV-2-B.1.351-N_CCL3	model_4_multimer_v3_pred_1	0.725064401998061	0.475010048292648	SARS-CoV-2-B.1.351-N	CCL3	False	1.200074450290709	True
SARS-CoV-2-BA.2-N_CCL3L1	model_4_multimer_v3_pred_0	0.724564311036776	0.934035732106283	SARS-CoV-2-BA.2-N	CCL3L1	False	1.658600043143059	True
SARS-CoV-2-B.1.1.7-N_CCL3L1	model_4_multimer_v3_pred_1	0.724317635924569	0.720536626395411	SARS-CoV-2-B.1.1.7-N	CCL3L1	False	1.44485426231998	True
SARS-CoV-2-BA.1.1-N_CCL3L1	model_4_multimer_v3_pred_1	0.724009635622607	0.681043426295259	SARS-CoV-2-BA.1.1-N	CCL3L1	False	1.405053061917866	True
BANAL-20-52-N_CCL3L1	model_4_multimer_v3_pred_3	0.723539236390261	0.813948668673961	BANAL-20-52-N	CCL3L1	False	1.5374879050642218	True
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3L1	model_4_multimer_v3_pred_3	0.72202408949379	0.816288569052636	SARS-CoV-2-B.1.617.2-DeltaA-N	CCL3L1	False	1.5383126585464262	True
SARS-CoV-2-B.1.1-N_CCL3L1	model_4_multimer_v3_pred_0	0.721970073477726	0.7898957878832	SARS-CoV-2-B.1.1-N	CCL3L1	False	1.511865861360926	True
MERS-CoV-N_CXCL6	model_4_multimer_v3_pred_3	0.721726579064746	0.938058923709267	MERS-CoV-N	CXCL6	False	1.659785502774013	True
RaTG13-N_CCL3L1	model_4_multimer_v3_pred_2	0.72104236200451	0.768224251318464	RaTG13-N	CCL3L1	False	1.489266613322974	True
SARS-CoV-2-BQ.1-N_CCL3L1	model_4_multimer_v3_pred_0	0.72051150078851	0.838021294468749	SARS-CoV-2-BQ.1-N	CCL3L1	False	1.558532795257259	True
RaTG13-N_CCL3L1	model_4_multimer_v3_pred_3	0.720103459398132	0.869277980268888	RaTG13-N	CCL3L1	False	1.58938143966702	True
SARS-CoV-2-P.1-N_CCL3L1	model_4_multimer_v3_pred_0	0.720099053146081	0.73332825777355	SARS-CoV-2-P.1-N	CCL3L1	False	1.453427310919631	True
SARS-CoV-2-BQ.1-N_CCL3L1	model_4_multimer_v3_pred_1	0.720048542174754	0.69993187903048	SARS-CoV-2-BQ.1-N	CCL3L1	False	1.419980421205234	True
SARS-CoV-2-B.1.1.7-N_CCL3L1	model_4_multimer_v3_pred_0	0.719954071222552	0.831863034556906	SARS-CoV-2-B.1.1.7-N	CCL3L1	False	1.5518171057794579	True
SARS-CoV-2-B.1.351-N_CCL3	model_4_multimer_v3_pred_4	0.719444501007962	0.461539187513522	SARS-CoV-2-B.1.351-N	CCL3	False	1.180983688521484	True
BANAL-20-52-N_CCL3L1	model_4_multimer_v3_pred_0	0.719335460990115	0.72733865442366	BANAL-20-52-N	CCL3L1	False	1.446674115413775	True
SARS-CoV-2-XBB-N_CCL3L1	model_4_multimer_v3_pred_2	0.719248484123811	0.71624574115211	SARS-CoV-2-XBB-N	CCL3L1	False	1.435494225275921	True
SARS-CoV-2-BA.2-N_CCL3L1	model_4_multimer_v3_pred_2	0.719040260708925	0.786521541100963	SARS-CoV-2-BA.2-N	CCL3L1	False	1.505561801809888	True
SARS-CoV-2-BA.1.1-N_IFNA2	model_4_multimer_v3_pred_1	0.718599559780898	0.978112184178244	SARS-CoV-2-BA.1.1-N	IFNA2	False	1.696711743959142	True
BANAL-20-52-N_CCL3L1	model_4_multimer_v3_pred_4	0.718453241162194	0.768631635454327	BANAL-20-52-N	CCL3L1	False	1.487084876616521	True
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3L1	model_4_multimer_v3_pred_1	0.718244999453317	0.858825212200393	SARS-CoV-2-B.1.617.2-DeltaA-N	CCL3L1	False	1.57707021165371	True
SARS-CoV-2-B.1.351-N_CCL3	model_4_multimer_v3_pred_3	0.718215869672535	0.431758259651764	SARS-CoV-2-B.1.351-N	CCL3	False	1.149974129324299	True
BANAL-20-52-N_IFNA2	model_4_multimer_v3_pred_2	0.717233838047824	0.981010390318699	BANAL-20-52-N	IFNA2	False	1.698244228366523	True
SARS-CoV-2-B.1.1-N_CCL3L1	model_4_multimer_v3_pred_3	0.716850447390844	0.937678116464477	SARS-CoV-2-B.1.1-N	CCL3L1	False	1.654528563855321	True
BANAL-20-52-N_CCL3L1	model_4_multimer_v3_pred_1	0.716536114172563	0.768166830187354	BANAL-20-52-N	CCL3L1	False	1.484702944359917	True
SARS-CoV-2-B.1.1.7-N_CCL3L1	model_4_multimer_v3_pred_4	0.714621922675121	0.835331837813512	SARS-CoV-2-B.1.1.7-N	CCL3L1	False	1.5499537604886329	True
BANAL-20-52-N_IFNA2	model_4_multimer_v3_pred_3	0.714248409322531	0.983704423934994	BANAL-20-52-N	IFNA2	False	1.697952833257525	True
SARS-CoV-2-XBB-N_CCL3L1	model_4_multimer_v3_pred_3	0.713989853711448	0.781188597488594	SARS-CoV-2-XBB-N	CCL3L1	False	1.495178451200042	True
SARS-CoV-2-B.1.1-N_CCL3L1	model_4_multimer_v3_pred_4	0.713970961205077	0.789877103535084	SARS-CoV-2-B.1.1-N	CCL3L1	False	1.5038480647401609	True
SARS-CoV-2-BA.1.1-N_IFNA2	model_4_multimer_v3_pred_0	0.713800719112351	0.977682784698938	SARS-CoV-2-BA.1.1-N	IFNA2	False	1.691483503811289	True
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3L1	model_4_multimer_v3_pred_4	0.713761863985174	0.600348493428385	SARS-CoV-2-B.1.617.2-DeltaA-N	CCL3L1	False	1.314110357413559	True
RaTG13-N_CCL3L1	model_4_multimer_v3_pred_1	0.712891040789329	0.779993062210683	RaTG13-N	CCL3L1	False	1.492884103000012	True
SARS-CoV-2-P.1-N_CCL3L1	model_4_multimer_v3_pred_4	0.712849882112208	0.659099619425403	SARS-CoV-2-P.1-N	CCL3L1	False	1.3719495015376109	True
SARS-CoV-2-BQ.1-N_CCL3L1	model_4_multimer_v3_pred_2	0.712370572068696	0.829912928010938	SARS-CoV-2-BQ.1-N	CCL3L1	False	1.542283500079634	True
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3L1	model_4_multimer_v3_pred_2	0.712163876197858	0.770194260440869	SARS-CoV-2-B.1.617.2-DeltaA-N	CCL3L1	False	1.482358136638727	True
SARS-CoV-2-B.1.1.529-N_CCL3L1	model_4_multimer_v3_pred_1	0.711913322689247	0.772030876743994	SARS-CoV-2-B.1.1.529-N	CCL3L1	False	1.483944199433241	True
SARS-CoV-2-BA.2-N_CCL3L1	model_4_multimer_v3_pred_4	0.71178497580681	0.751989859473426	SARS-CoV-2-BA.2-N	CCL3L1	False	1.463774835280236	True
RaTG13-N_CCL3L1	model_4_multimer_v3_pred_0	0.711478116346228	0.823930934579512	RaTG13-N	CCL3L1	False	1.53540905092574	True
RaTG13-N_CCL3L1	model_4_multimer_v3_pred_4	0.711099411409743	0.603226475886733	RaTG13-N	CCL3L1	False	1.314325887296476	True
BANAL-20-52-N_CCL3L1	model_4_multimer_v3_pred_2	0.709290118301884	0.678457107911703	BANAL-20-52-N	CCL3L1	False	1.387747226213587	True
SARS-CoV-2-B.1.1.529-N_IFNA2	model_4_multimer_v3_pred_2	0.708622057224231	0.979839232419089	SARS-CoV-2-B.1.1.529-N	IFNA2	False	1.68846128964332	True
SARS-CoV-2-B.1.1-N_CCL3L1	model_4_multimer_v3_pred_2	0.708569447385077	0.877032817405381	SARS-CoV-2-B.1.1-N	CCL3L1	False	1.585602264790458	True
SARS-CoV-2-BA.1.1-N_CCL3L1	model_4_multimer_v3_pred_4	0.708197283652527	0.793775721967406	SARS-CoV-2-BA.1.1-N	CCL3L1	False	1.501973005619933	True
SARS-CoV-2-BA.1.1-N_CXCL11	model_4_multimer_v3_pred_4	0.707605401982372	0.985115485549094	SARS-CoV-2-BA.1.1-N	CXCL11	True	1.692720887531466	True
SARS-CoV-2-B.1.1.7-N_CCL3L1	model_4_multimer_v3_pred_3	0.70707308548512	0.88451720910566	SARS-CoV-2-B.1.1.7-N	CCL3L1	False	1.59159029459078	True
SARS-CoV-2-BA.1.1-N_CCL3L1	model_4_multimer_v3_pred_3	0.707011815765767	0.829018875922874	SARS-CoV-2-BA.1.1-N	CCL3L1	False	1.536030691688641	True
SARS-CoV-2-BQ.1-N_CCL3	model_4_multimer_v3_pred_1	0.706834422980606	0.742893925053598	SARS-CoV-2-BQ.1-N	CCL3	False	1.449728348034204	True
SARS-CoV-2-B.1.1-N_CCL3L1	model_4_multimer_v3_pred_1	0.706031196000379	0.620315915922055	SARS-CoV-2-B.1.1-N	CCL3L1	False	1.3263471119224342	True
SARS-CoV-2-XBB-N_CCL3L1	model_4_multimer_v3_pred_0	0.705466067686433	0.732574942786865	SARS-CoV-2-XBB-N	CCL3L1	False	1.438041010473298	True
SARS-CoV-2-B.1.351-N_CCL3	model_4_multimer_v3_pred_0	0.704811117336934	0.776220980039829	SARS-CoV-2-B.1.351-N	CCL3	False	1.481032097376763	True
SARS-CoV-2-BA.1.1-N_CCL3L1	model_4_multimer_v3_pred_2	0.703882806872032	0.823168996066609	SARS-CoV-2-BA.1.1-N	CCL3L1	False	1.527051802938641	True
SARS-CoV-2-B.1.1.529-N_CCL3L1	model_4_multimer_v3_pred_3	0.703011400253824	0.789923143676513	SARS-CoV-2-B.1.1.529-N	CCL3L1	False	1.492934543930337	True
SARS-CoV-2-BA.4-N_CCL3L1	model_4_multimer_v3_pred_2	0.702879904913921	0.80397892818618	SARS-CoV-2-BA.4-N	CCL3L1	False	1.5068588331001012	True
SARS-CoV-2-BQ.1-N_CCL3L1	model_4_multimer_v3_pred_4	0.702299201652239	0.728501603718027	SARS-CoV-2-BQ.1-N	CCL3L1	False	1.430800805370266	True
SARS-CoV-2-BA.4-N_IFNA2	model_4_multimer_v3_pred_0	0.702056150167878	0.983287906574027	SARS-CoV-2-BA.4-N	IFNA2	False	1.6853440567419051	True
SARS-CoV-2-WA1-N_CCL3L1	model_4_multimer_v3_pred_2	0.701777919780771	0.734479605349734	SARS-CoV-2-WA1-N	CCL3L1	False	1.436257525130505	True
SARS-CoV-2-BQ.1-N_CXCL11	model_3_multimer_v3_pred_1	0.701355137264308	0.931115416132518	SARS-CoV-2-BQ.1-N	CXCL11	True	1.632470553396826	True
SARS-CoV-2-BQ.1-N_CXCL11	model_4_multimer_v3_pred_1	0.700764265764326	0.982292542344139	SARS-CoV-2-BQ.1-N	CXCL11	True	1.6830568081084651	True
SARS-CoV-2-P.1-N_CCL3L1	model_4_multimer_v3_pred_1	0.700594383919711	0.868977250982481	SARS-CoV-2-P.1-N	CCL3L1	False	1.569571634902192	True
SARS-CoV-2-P.1-N_CCL3L1	model_4_multimer_v3_pred_3	0.700271928969838	0.945212085470661	SARS-CoV-2-P.1-N	CCL3L1	False	1.6454840144404992	True
SARS-CoV-2-B.1.1.529-N_CCL3	model_4_multimer_v3_pred_4	0.700077621197965	0.467827884969373	SARS-CoV-2-B.1.1.529-N	CCL3	False	1.167905506167338	True
SARS-CoV-2-BQ.1-N_CCL3L1	model_4_multimer_v3_pred_3	0.69996440758739	0.843956728547528	SARS-CoV-2-BQ.1-N	CCL3L1	False	1.543921136134918	True
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3	model_4_multimer_v3_pred_0	0.699400528887186	0.523144934787428	SARS-CoV-2-B.1.617.2-DeltaA-N	CCL3	False	1.222545463674614	True
SARS-CoV-2-BQ.1-N_CCL3	model_4_multimer_v3_pred_3	0.69938150974912	0.758122375519721	SARS-CoV-2-BQ.1-N	CCL3	False	1.457503885268841	True
SARS-CoV-2-BA.1.1-N_CCL3L1	model_4_multimer_v3_pred_0	0.697783711779211	0.730902551783703	SARS-CoV-2-BA.1.1-N	CCL3L1	False	1.428686263562914	True
OC43-N_IL-18	model_5_multimer_v3_pred_1	0.697309432044341	0.374637343642954	OC43-N	IL-18	False	1.071946775687295	True
SARS-CoV-2-BA.1.1-N_CCL3	model_4_multimer_v3_pred_3	0.696347843196854	0.509918821701833	SARS-CoV-2-BA.1.1-N	CCL3	False	1.206266664898687	True
RaTG13-N_CCL3	model_4_multimer_v3_pred_2	0.695926500458724	0.504059460673557	RaTG13-N	CCL3	False	1.199985961132281	True
MERS-CoV-N_CCL1	model_4_multimer_v3_pred_4	0.695139494216437	0.392962630808488	MERS-CoV-N	CCL1	False	1.088102125024925	True
SARS-CoV-2-BA.2-N_CCL3	model_4_multimer_v3_pred_0	0.695107196145923	0.778024328211791	SARS-CoV-2-BA.2-N	CCL3	False	1.473131524357714	True
SARS-CoV-2-BA.4-N_IFNA2	model_3_multimer_v3_pred_0	0.694749467519513	0.239966278134041	SARS-CoV-2-BA.4-N	IFNA2	False	0.9347157456535541	True
RaTG13-N_CCL3	model_4_multimer_v3_pred_3	0.69414945524811	0.5614173078593	RaTG13-N	CCL3	False	1.25556676310741	True
SARS-CoV-2-B.1.1.529-N_CCL3	model_4_multimer_v3_pred_1	0.693653051924299	0.787098754770627	SARS-CoV-2-B.1.1.529-N	CCL3	False	1.4807518066949261	True
SARS-CoV-2-BA.4-N_CCL3L1	model_4_multimer_v3_pred_0	0.69354014569565	0.889213712266311	SARS-CoV-2-BA.4-N	CCL3L1	False	1.5827538579619609	True
SARS-CoV-2-BA.2-N_CCL3L1	model_4_multimer_v3_pred_3	0.692881196131427	0.837328556131817	SARS-CoV-2-BA.2-N	CCL3L1	False	1.5302097522632438	True
SARS-CoV-2-XBB-N_CCL3	model_4_multimer_v3_pred_4	0.692511902432366	0.768939605321954	SARS-CoV-2-XBB-N	CCL3	False	1.4614515077543202	True
BANAL-20-52-N_CCL3	model_4_multimer_v3_pred_0	0.692464429549987	0.440771197662358	BANAL-20-52-N	CCL3	False	1.133235627212345	True
OC43-N_IL-18	model_5_multimer_v3_pred_3	0.692161626411995	0.628988286027322	OC43-N	IL-18	False	1.3211499124393171	True
SARS-CoV-2-B.1.1.7-N_CCL3	model_4_multimer_v3_pred_2	0.692109423585187	0.432431098354495	SARS-CoV-2-B.1.1.7-N	CCL3	False	1.124540521939682	True
SARS-CoV-2-P.1-N_CCL3	model_4_multimer_v3_pred_1	0.689761334064428	0.580607898282411	SARS-CoV-2-P.1-N	CCL3	False	1.270369232346839	True
OC43-N_IL-18	model_5_multimer_v3_pred_4	0.689474473458264	0.419296634554798	OC43-N	IL-18	False	1.108771108013062	True
SARS-CoV-2-B.1.1.529-N_CCL3	model_4_multimer_v3_pred_0	0.68894322130385	0.744475671960574	SARS-CoV-2-B.1.1.529-N	CCL3	False	1.4334188932644238	True
SARS-CoV-2-BA.4-N_CCL3L1	model_4_multimer_v3_pred_1	0.688706212410785	0.88819999857231	SARS-CoV-2-BA.4-N	CCL3L1	False	1.5769062109830951	True
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3	model_4_multimer_v3_pred_2	0.68850351351255	0.520586724123673	SARS-CoV-2-B.1.617.2-DeltaA-N	CCL3	False	1.209090237636223	True
SARS-CoV-2-BQ.1-N_CCL3	model_4_multimer_v3_pred_2	0.688322841912156	0.761967591017352	SARS-CoV-2-BQ.1-N	CCL3	False	1.450290432929508	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IFNA2	model_4_multimer_v3_pred_0	0.688186088455718	0.989136137079367	SARS-CoV-2-B.1.617.2-DeltaA-N	IFNA2	False	1.677322225535085	True
SARS-CoV-2-B.1.1-N_CCL3	model_4_multimer_v3_pred_3	0.686979643602352	0.766945087685166	SARS-CoV-2-B.1.1-N	CCL3	False	1.4539247312875179	True
SARS-CoV-2-B.1.1.7-N_CCL3	model_4_multimer_v3_pred_3	0.68686809618728	0.489941972949966	SARS-CoV-2-B.1.1.7-N	CCL3	False	1.1768100691372458	True
RaTG13-N_CCL3	model_4_multimer_v3_pred_4	0.686293117114919	0.477011846904239	RaTG13-N	CCL3	False	1.163304964019158	True
SARS-CoV-2-WA1-N_CCL3L1	model_4_multimer_v3_pred_1	0.686047548901012	0.618941466367026	SARS-CoV-2-WA1-N	CCL3L1	False	1.304989015268038	True
SARS-CoV-2-B.1.1.7-N_CCL3	model_4_multimer_v3_pred_4	0.68497797281906	0.452920546194014	SARS-CoV-2-B.1.1.7-N	CCL3	False	1.1378985190130742	True
SARS-CoV-2-WA1-N_CCL3L1	model_4_multimer_v3_pred_4	0.684713679759041	0.608374840110987	SARS-CoV-2-WA1-N	CCL3L1	False	1.293088519870028	True
SARS-CoV-N_TNFalpha	model_3_multimer_v3_pred_3	0.684672089377443	0.231772063602124	SARS-CoV-N	TNFalpha	False	0.9164441529795669	True
SARS-CoV-2-BQ.1-N_CCL3	model_4_multimer_v3_pred_0	0.683973963589316	0.538278834559757	SARS-CoV-2-BQ.1-N	CCL3	False	1.222252798149073	True
SARS-CoV-2-XBB-N_CCL3	model_4_multimer_v3_pred_1	0.682713076164389	0.716722098899485	SARS-CoV-2-XBB-N	CCL3	False	1.399435175063874	True
SARS-CoV-2-WA1-N_IFNA2	model_2_multimer_v3_pred_3	0.682680552088882	0.733714093614334	SARS-CoV-2-WA1-N	IFNA2	False	1.4163946457032162	True
SARS-CoV-2-B.1.1.529-N_IFNA2	model_2_multimer_v3_pred_2	0.682666177299717	0.233756916862125	SARS-CoV-2-B.1.1.529-N	IFNA2	False	0.916423094161842	True
SARS-CoV-2-B.1.1-N_CCL3	model_4_multimer_v3_pred_0	0.682471708870158	0.450010218545514	SARS-CoV-2-B.1.1-N	CCL3	False	1.1324819274156719	True
SARS-CoV-2-B.1.1-N_CCL3	model_4_multimer_v3_pred_4	0.68204603339106	0.439666210174337	SARS-CoV-2-B.1.1-N	CCL3	False	1.121712243565397	True
SARS-CoV-2-WA1-N_CCL3L1	model_4_multimer_v3_pred_3	0.680808830213747	0.590554750728192	SARS-CoV-2-WA1-N	CCL3L1	False	1.271363580941939	True
SARS-CoV-N_TNFalpha	model_3_multimer_v3_pred_0	0.68058202742123	0.223517230025073	SARS-CoV-N	TNFalpha	False	0.9040992574463029	True
OC43-N_IL-18	model_5_multimer_v3_pred_2	0.680275760111245	0.400962387319553	OC43-N	IL-18	False	1.0812381474307982	True
SARS-CoV-2-BA.1.1-N_CCL3	model_4_multimer_v3_pred_4	0.679762548766002	0.702962260188575	SARS-CoV-2-BA.1.1-N	CCL3	False	1.382724808954577	True
SARS-CoV-2-WA1-N_IL-35	model_1_multimer_v3_pred_1	0.679182849154069	0.98005659021518	SARS-CoV-2-WA1-N	IL-35	False	1.659239439369249	True
SARS-CoV-2-B.1.1-N_CCL3	model_4_multimer_v3_pred_1	0.678977026750173	0.538340417235541	SARS-CoV-2-B.1.1-N	CCL3	False	1.217317443985714	True
SARS-CoV-2-P.1-N_CCL3	model_4_multimer_v3_pred_4	0.67890386102561	0.480666537078309	SARS-CoV-2-P.1-N	CCL3	False	1.159570398103919	True
SARS-CoV-2-P.1-N_CCL3	model_4_multimer_v3_pred_2	0.67837046668368	0.460341174945697	SARS-CoV-2-P.1-N	CCL3	False	1.138711641629377	True
SARS-CoV-2-BA.4-N_CCL3L1	model_4_multimer_v3_pred_4	0.678353868881458	0.859085090930104	SARS-CoV-2-BA.4-N	CCL3L1	False	1.537438959811562	True
MERS-CoV-N_CXCL6	model_4_multimer_v3_pred_0	0.678343259251757	0.961493233353432	MERS-CoV-N	CXCL6	False	1.639836492605189	True
BANAL-20-52-N_CCL3	model_4_multimer_v3_pred_1	0.678257830955352	0.356293812942954	BANAL-20-52-N	CCL3	False	1.034551643898306	True
RaTG13-N_CCL3	model_4_multimer_v3_pred_1	0.678097306548066	0.39182942452977	RaTG13-N	CCL3	False	1.069926731077836	True
RaTG13-N_CCL3	model_4_multimer_v3_pred_0	0.677599312378614	0.479107723630927	RaTG13-N	CCL3	False	1.156707036009541	True
BANAL-20-52-N_CCL3	model_4_multimer_v3_pred_3	0.677113957469346	0.502647465643563	BANAL-20-52-N	CCL3	False	1.179761423112909	True
SARS-CoV-2-B.1.1.7-N_CCL3	model_4_multimer_v3_pred_1	0.676252590502096	0.743384884387651	SARS-CoV-2-B.1.1.7-N	CCL3	False	1.419637474889747	True
SARS-CoV-2-P.1-N_CCL3	model_4_multimer_v3_pred_3	0.676134254906029	0.411393883499682	SARS-CoV-2-P.1-N	CCL3	False	1.087528138405711	True
SARS-CoV-2-BA.2-N_CCL3	model_4_multimer_v3_pred_4	0.675557208997701	0.536158197642335	SARS-CoV-2-BA.2-N	CCL3	False	1.211715406640036	True
SARS-CoV-2-WA1-N_CCL3L1	model_4_multimer_v3_pred_0	0.675498007732858	0.617377589301572	SARS-CoV-2-WA1-N	CCL3L1	False	1.29287559703443	True
SARS-CoV-2-BA.2-N_CCL3	model_4_multimer_v3_pred_1	0.675125491720876	0.547806566593575	SARS-CoV-2-BA.2-N	CCL3	False	1.222932058314451	True
SARS-CoV-2-BA.2-N_CCL3	model_4_multimer_v3_pred_3	0.674266292010787	0.522869770344628	SARS-CoV-2-BA.2-N	CCL3	False	1.197136062355415	True
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL22	model_4_multimer_v3_pred_4	0.67278607796519	0.972071855418685	SARS-CoV-2-B.1.617.2-DeltaA-N	CCL22	False	1.644857933383875	False
SARS-CoV-2-XBB-N_CCL3	model_4_multimer_v3_pred_3	0.672726312970374	0.747229780978606	SARS-CoV-2-XBB-N	CCL3	False	1.4199560939489801	True
SARS-CoV-2-BA.2-N_TNFalpha	model_3_multimer_v3_pred_3	0.672225253160011	0.178851746603618	SARS-CoV-2-BA.2-N	TNFalpha	False	0.851076999763629	True
BANAL-20-52-N_CCL3	model_4_multimer_v3_pred_2	0.67199954073889	0.329270417281949	BANAL-20-52-N	CCL3	False	1.001269958020839	True
SARS-CoV-2-B.1.1.529-N_IFNA2	model_2_multimer_v3_pred_0	0.671716702059739	0.681633715042923	SARS-CoV-2-B.1.1.529-N	IFNA2	False	1.353350417102662	True
SARS-CoV-2-B.1.1.529-N_CCL3	model_4_multimer_v3_pred_2	0.671487497092889	0.423726595833072	SARS-CoV-2-B.1.1.529-N	CCL3	False	1.095214092925961	True
SARS-CoV-2-WA1-N_IFNA2	model_2_multimer_v3_pred_4	0.671458885875813	0.828795163990047	SARS-CoV-2-WA1-N	IFNA2	False	1.50025404986586	True
SARS-CoV-2-BA.2-N_TNFalpha	model_3_multimer_v3_pred_4	0.671389149039234	0.135499146405282	SARS-CoV-2-BA.2-N	TNFalpha	False	0.806888295444516	True
MERS-CoV-N_CXCL6	model_4_multimer_v3_pred_4	0.67094721824225	0.9505645776257	MERS-CoV-N	CXCL6	False	1.6215117958679501	True
SARS-CoV-2-BA.4-N_CCL3	model_4_multimer_v3_pred_4	0.670601897657075	0.714933163746863	SARS-CoV-2-BA.4-N	CCL3	False	1.385535061403938	True
MERS-CoV-N_IFNgamma	model_1_multimer_v3_pred_2	0.670437874767046	0.018261549691583	MERS-CoV-N	IFNgamma	False	0.688699424458629	True
SARS-CoV-2-B.1.1.7-N_IL-12p70	model_1_multimer_v3_pred_1	0.670409012715423	0.008012117305298	SARS-CoV-2-B.1.1.7-N	IL-12p70	False	0.678421130020721	True
SARS-CoV-2-B.1.1.7-N_IFNA2	model_4_multimer_v3_pred_2	0.669941194770113	0.965721034886765	SARS-CoV-2-B.1.1.7-N	IFNA2	False	1.635662229656878	True
SARS-CoV-2-WA1-N_IFNA2	model_2_multimer_v3_pred_0	0.669863911206226	0.576013143558092	SARS-CoV-2-WA1-N	IFNA2	False	1.245877054764318	True
SARS-CoV-2-BA.2-N_CXCL11	model_4_multimer_v3_pred_4	0.669599848828467	0.98670373668406	SARS-CoV-2-BA.2-N	CXCL11	True	1.656303585512527	True
SARS-CoV-2-B.1.1-N_TNFalpha	model_3_multimer_v3_pred_3	0.669532010842246	0.103410307511619	SARS-CoV-2-B.1.1-N	TNFalpha	False	0.7729423183538651	True
SARS-CoV-2-B.1.1.7-N_IL-35	model_1_multimer_v3_pred_1	0.66911845054825	0.989538099389688	SARS-CoV-2-B.1.1.7-N	IL-35	False	1.658656549937938	True
