experiment_name,best_model_pred,iptm+ptm,gdock,total_score,negative_energy,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,af2_foldx_dG,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,wet_hit,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M
OC43-N__CCL3L1,model_4_multimer_v3_pred_0,0.239022631,0.962180326565333,1.20120295767878,False,A,B,39.1447,10.3674,18.1574,-5.35261,-10.8147,-27.5808,-7.34215,52.3179,-34.8564,32.7924,12.6192,6.02781,0,0,0,2.09944,11.1492,-0.0551918,0,-8.88E-16,-1.69762,0,0,2.384,518,70,8,6,4,False,OC43-N,CCL3L1,./best_AF2_and_GDock/OC43-N_CCL3L1_relaxed_model_4_multimer_v3_pred_0.pdb,-17.4,1.7E-13
SARS-CoV-N__CCL3L1,model_4_multimer_v3_pred_1,0.565447318,0.701433416950884,1.26688073448701,True,A,B,16.6527,5.03921,-19.8289,-7.50058,-13.0131,-27.1111,-8.90379,43.8504,-31.6633,6.19449,14.1526,6.5597,0,0,0,0.550076,5.51695,-0.88282,0,0,-2.06146,0,0,2.384,492,81,0,0,0,False,SARS-CoV-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-N_CCL3L1_relaxed_model_4_multimer_v3_pred_1.pdb,-13.2,1.9E-10
SARS-CoV-2-B.1.351-N__IFNA2,model_4_multimer_v3_pred_4,0.366387484,0.992464490598454,1.35885197420242,True,A,B,17.3452,10.1624,-30.737,-6.51389,-17.4671,-46.471,-11.5968,68.1782,-62.2232,8.77801,28.3077,9.90168,0,0,0,1.17755,11.5877,-0.164932,0,0,-2.75033,0,0.107025,2.384,584,118,4,2,2,False,SARS-CoV-2-B.1.351-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IFNA2_relaxed_model_4_multimer_v3_pred_4.pdb,-22.3,4.8E-17
SARS-CoV-2-B.1.1.7-N__IFNA2,model_4_multimer_v3_pred_3,0.736368531,0.989623111553564,1.72599164231897,True,A,B,65.3476,4.29784,-34.0353,-4.09536,-10.2742,-28.2559,-1.37499,29.9572,-41.9541,1.63902,18.6725,3.18128,0,0,0.016181,0.213484,6.10316,-1.5236,0,0,-0.350672,0,0.113826,2.384,584,71,0,0,0,False,SARS-CoV-2-B.1.1.7-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IFNA2_relaxed_model_4_multimer_v3_pred_3.pdb,-12.3,9.2E-10
RaTG13-N__IFNA2,model_1_multimer_v3_pred_4,0.299602293,0.982872368526555,1.28247466106979,True,A,B,26.1081,16.7391,-29.1588,-4.80318,-14.8993,-50.5952,-4.88139,68.9004,-71.054,7.65279,26.3626,13.2816,0,0,0,2.05522,34.4537,0.410571,0,0,-1.64937,0,0.0604744,2.384,584,130,14,1,14,False,RaTG13-N,IFNA2,./best_AF2_and_GDock/RaTG13-N_IFNA2_relaxed_model_1_multimer_v3_pred_4.pdb,-20.8,5.4E-16
MERS-CoV-N__IFNA2,model_2_multimer_v3_pred_1,0.269077448,0.972160585003313,1.24123803256077,True,A,B,32.9671,12.6682,-12.3093,-6.62491,-12.8201,-31.3,-2.43716,46.088,-41.9682,6.58858,19.8085,10.78,0,0,0,0.603088,7.2848,0.256416,0,0,-1.2835,0,1.11E-16,2.384,576,113,3,3,0,False,MERS-CoV-N,IFNA2,./best_AF2_and_GDock/MERS-CoV-N_IFNA2_relaxed_model_2_multimer_v3_pred_1.pdb,-15.6,3.9E-12
SARS-CoV-2-B.1.1.529-N__IFNA2,model_4_multimer_v3_pred_2,0.708622057,0.979839232419089,1.68846128964332,True,A,B,18.5473,6.34438,-37.1478,-6.33191,-14.6608,-28.9779,-2.94484,31.5943,-43.6153,1.63033,23.0731,3.9539,0,0,0,0.14952,4.16856,0.0289329,0,0,-1.16087,0,0.113826,2.384,581,90,0,0,0,False,SARS-CoV-2-B.1.1.529-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IFNA2_relaxed_model_4_multimer_v3_pred_2.pdb,-13.4,1.4E-10
SARS-CoV-2-P.1-N__IFNA2,model_1_multimer_v3_pred_1,0.302199149,0.973930095819303,1.27612924453393,True,A,B,40.6092,19.3211,-11.8965,-3.2159,-6.24854,-35.1296,-7.85571,39.9322,-52.1122,24.6711,21.7849,5.67333,0,0,0,1.8738,9.02065,0.685426,0,0,-1.97933,0,0.0239658,2.384,584,84,11,11,1,False,SARS-CoV-2-P.1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IFNA2_relaxed_model_1_multimer_v3_pred_1.pdb,-14.4,2.8E-11
SARS-CoV-2-B.1.617.2-DeltaA-N__IFNA2,model_4_multimer_v3_pred_0,0.688186088,0.989136137079367,1.67732222553509,True,A,B,46.6901,7.88215,-30.5759,-3.84325,-7.96722,-26.2555,-2.36381,27.8556,-39.5112,3.94862,15.4606,3.08025,0,0,0,0.320527,6.01311,-0.815092,0,0,-0.599306,0,0.113826,2.384,584,67,0,0,0,False,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IFNA2_relaxed_model_4_multimer_v3_pred_0.pdb,-12.8,4.1E-10
SARS-CoV-2-BA.2-N__IFNA2,model_1_multimer_v3_pred_2,0.281361458,0.962537926016711,1.24389938433136,True,A,B,41.4657,19.6801,-8.15294,-5.19527,-14.4375,-38.4868,-7.93528,45.6943,-54.5039,30.8875,28.8787,5.46743,0,0,0,2.99815,8.40559,0.4326,0,0,-2.36472,0,0.411925,2.384,581,103,6,6,0,False,SARS-CoV-2-BA.2-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IFNA2_relaxed_model_1_multimer_v3_pred_2.pdb,-15,9.9E-12
SARS-CoV-2-XBB-N__IFNA2,model_4_multimer_v3_pred_0,0.540542765,0.992305768259971,1.53284853324096,True,A,B,64.5775,9.55664,-27.9027,-5.47133,-10.3979,-32.4166,-3.98647,37.8161,-48.5998,11.859,18.5089,6.62308,0,0,0,0.776312,10.8817,-1.95689,0,0,-0.77107,0,0.113826,2.384,581,77,3,2,1,False,SARS-CoV-2-XBB-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IFNA2_relaxed_model_4_multimer_v3_pred_0.pdb,-14.8,1.4E-11
SARS-CoV-2-BA.1.1-N__IFNA2,model_4_multimer_v3_pred_1,0.71859956,0.978112184178244,1.69671174395914,True,A,B,85.256,7.32472,-29.6046,-3.34237,-10.0575,-22.7763,-3.17154,22.4361,-35.4828,4.86861,17.3394,1.53013,0,0,0,0.27633,4.20291,-0.706331,0,0,-0.6322,0,0.113826,2.384,581,63,0,0,0,False,SARS-CoV-2-BA.1.1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IFNA2_relaxed_model_4_multimer_v3_pred_1.pdb,-10.7,1.4E-08
BANAL-20-52-N__IFNA2,model_4_multimer_v3_pred_2,0.717233838,0.981010390318699,1.69824422836652,True,A,B,16.9537,7.41255,-30.86,-2.9842,-9.95615,-24.5637,-1.42924,24.5276,-38.2445,1.70113,18.2682,2.89038,0,0,0,0.275636,4.10398,-0.813813,0,0,-0.639865,0,0.108531,2.384,584,69,0,0,0,False,BANAL-20-52-N,IFNA2,./best_AF2_and_GDock/BANAL-20-52-N_IFNA2_relaxed_model_4_multimer_v3_pred_2.pdb,-11,8.3E-09
SARS-CoV-2-B.1.1-N__IFNA2,model_1_multimer_v3_pred_3,0.341117625,0.974493171118879,1.31561079576524,True,A,B,31.0198,10.9024,-24.4301,-7.30838,-10.8076,-37.577,-6.32324,44.9819,-51.4138,15.5754,23.5598,5.02587,0,0,0,1.23636,8.53178,0.260203,0,-1.78E-15,-1.71452,0,0.0748254,2.384,584,102,3,3,0,False,SARS-CoV-2-B.1.1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IFNA2_relaxed_model_1_multimer_v3_pred_3.pdb,-18,5.9E-14
SARS-CoV-2-BQ.1-N__IFNA2,model_1_multimer_v3_pred_3,0.277814852,0.972753321438032,1.25056817330735,True,A,B,26.6942,10.6953,-27.5998,-8.11271,-9.3494,-42.0488,-4.71529,51.0311,-58.9465,11.759,24.5382,8.55238,0,0,0,0.995665,28.4121,0.136556,0,0,-1.45177,0,0.0118071,2.384,581,110,7,3,7,False,SARS-CoV-2-BQ.1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IFNA2_relaxed_model_1_multimer_v3_pred_3.pdb,-20.3,1.3E-15
SARS-CoV-2-BA.4-N__IFNA2,model_4_multimer_v3_pred_0,0.70205615,0.983287906574027,1.68534405674191,True,A,B,31.5016,5.67189,-33.4629,-4.16461,-14.5251,-24.7505,-5.61542,28.0927,-37.4735,1.45285,20.5145,3.25647,0,0,0,0.201338,5.82607,0.337479,0,0,-0.902863,0,0.113826,2.384,581,66,0,0,0,False,SARS-CoV-2-BA.4-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IFNA2_relaxed_model_4_multimer_v3_pred_0.pdb,-12,1.5E-09
SARS-CoV-2-WA1-N__IFNA2,model_2_multimer_v3_pred_4,0.671458886,0.828795163990047,1.50025404986586,True,A,B,16.2278,9.48,-13.4458,-4.1881,-10.9341,-29.1777,-5.79086,39.8823,-38.5919,7.78584,19.8036,8.23228,0,0,0,1.47897,7.0792,-0.253078,0,0,-1.69298,0,0,2.384,584,97,2,2,1,False,SARS-CoV-2-WA1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IFNA2_relaxed_model_2_multimer_v3_pred_4.pdb,-14.8,1.5E-11
OC43-N__IFNA2,model_4_multimer_v3_pred_2,0.432599615,0.967559121991032,1.40015873692717,True,A,B,24.289,10.0074,-28.4464,-8.16964,-16.633,-37.0519,-7.56514,49.4063,-48.2143,11.2179,22.7982,6.93846,0,0,0,0.325434,6.49224,0.0604392,0,0,-1.6236,0,0.0644793,2.384,613,130,3,3,0,False,OC43-N,IFNA2,./best_AF2_and_GDock/OC43-N_IFNA2_relaxed_model_4_multimer_v3_pred_2.pdb,-20.4,1.1E-15
SARS-CoV-N__IFNA2,model_4_multimer_v3_pred_1,0.276256447,0.993078589671031,1.2693350370657,True,A,B,36.55,14.0674,-15.0314,-11.1362,-13.8211,-49.9727,-11.0023,72.1686,-68.0964,31.9951,25.1726,9.85932,0,0,0,2.5535,25.7352,-0.244906,0,0,-2.62074,0,0.113826,2.384,587,107,13,9,9,False,SARS-CoV-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-N_IFNA2_relaxed_model_4_multimer_v3_pred_1.pdb,-23.2,9.2E-18
SARS-CoV-2-B.1.351-N__IL-1beta,model_5_multimer_v3_pred_1,0.211194512,0.981638476248117,1.19283298782288,True,A,B,35.1178,4.18089,-8.3253,-4.04502,-4.57733,-13.1015,-1.70342,19.1625,-16.8328,0.721052,6.76401,5.88417,0,0,0,0.327334,4.35048,0,0,0,-0.924302,0,0,2.384,572,48,1,0,1,False,SARS-CoV-2-B.1.351-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-1beta_relaxed_model_5_multimer_v3_pred_1.pdb,-8,1.3E-06
SARS-CoV-2-B.1.1.7-N__IL-1beta,model_3_multimer_v3_pred_3,0.207502752,0.987159717299892,1.19466246900236,True,A,B,32.2118,5.90732,-5.54371,-2.99466,-7.23577,-11.9997,-1.66791,18.8852,-15.3093,1.99776,7.6875,5.19264,0,0,-4.44E-16,0.61886,3.68857,0.0509532,0,0,-0.769233,0,1.39E-17,2.384,572,46,1,0,1,False,SARS-CoV-2-B.1.1.7-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IL-1beta_relaxed_model_3_multimer_v3_pred_3.pdb,-10,4.5E-08
RaTG13-N__IL-1beta,model_4_multimer_v3_pred_3,0.734421488,0.832031609805373,1.56645309752927,True,A,B,10.1865,3.61827,-9.71932,-1.68101,-9.60406,-13.7107,-3.8659,20.6116,-16.0022,0.433016,9.46877,5.93702,0,0,0,0.0264298,0.704157,0,0,0,-1.33232,0,-5.55E-17,2.384,572,55,0,0,0,False,RaTG13-N,IL-1beta,./best_AF2_and_GDock/RaTG13-N_IL-1beta_relaxed_model_4_multimer_v3_pred_3.pdb,-11.2,5.6E-09
MERS-CoV-N__IL-1beta,model_3_multimer_v3_pred_1,0.209436434,0.947345159487819,1.15678159389095,False,A,B,40.308,10.0506,15.2751,-4.07931,-4.96209,-25.5217,-2.39905,40.6175,-32.1056,16.627,11.6372,10.8613,0,0,1.85183,2.96741,10.745,-0.0155052,0,0,-0.317687,0,0.113826,2.384,564,54,6,4,2,False,MERS-CoV-N,IL-1beta,./best_AF2_and_GDock/MERS-CoV-N_IL-1beta_relaxed_model_3_multimer_v3_pred_1.pdb,-13.5,1.2E-10
SARS-CoV-2-B.1.1.529-N__IL-1beta,model_3_multimer_v3_pred_4,0.20468153,0.983391064336095,1.18807259433787,True,A,B,32.4816,5.87918,-4.31282,-1.74293,-4.59391,-15.5023,-1.21796,21.1875,-22.1829,5.92687,7.22806,7.00108,0,0,-2.22E-16,0.0913447,4.12116,0.0236058,0,0,-0.531221,0,4.16E-17,2.384,569,50,2,2,1,False,SARS-CoV-2-B.1.1.529-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-1beta_relaxed_model_3_multimer_v3_pred_4.pdb,-10.2,3.5E-08
SARS-CoV-2-P.1-N__IL-1beta,model_3_multimer_v3_pred_3,0.203691313,0.964573314684352,1.16826462744245,True,A,B,33.2816,6.31387,-3.17486,-2.4089,-8.01877,-12.5635,-0.828063,18.5097,-16.1173,3.7366,8.72416,6.05635,0,0,-2.22E-16,0.249875,3.63207,0.04915,0,0,-0.564157,0,4.16E-17,2.384,572,48,1,1,0,False,SARS-CoV-2-P.1-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-1beta_relaxed_model_3_multimer_v3_pred_3.pdb,-9.7,7.9E-08
SARS-CoV-2-B.1.617.2-DeltaA-N__IL-1beta,model_3_multimer_v3_pred_0,0.22049618,0.989091137830777,1.2095873180976,True,A,B,24.2172,6.55565,-4.30656,-2.16714,-7.84496,-13.8724,-1.78993,21.7382,-17.8929,2.87676,9.83412,5.13502,0,0,-2.22E-16,0.353977,6.50257,0.000832022,0,0,-0.678155,0,0,2.384,572,51,2,2,2,False,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-1beta_relaxed_model_3_multimer_v3_pred_0.pdb,-9.4,1.3E-07
SARS-CoV-2-BA.2-N__IL-1beta,model_5_multimer_v3_pred_0,0.201008046,0.965618550300717,1.16662659636575,True,A,B,32.461,3.90494,-6.13264,-4.60103,-2.33529,-10.5431,-0.259794,13.2741,-14.6534,0.316904,6.45798,6.42141,0,0,0,0.0653882,2.43604,0.020477,0,0,-0.296356,0,-4.16E-17,2.384,569,41,0,0,0,False,SARS-CoV-2-BA.2-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IL-1beta_relaxed_model_5_multimer_v3_pred_0.pdb,-7.6,2.8E-06
SARS-CoV-2-XBB-N__IL-1beta,model_3_multimer_v3_pred_1,0.2059066,0.977583658405733,1.18349025852076,True,A,B,28.5786,5.19423,-2.18395,-0.996276,-3.79565,-14.1214,-1.15394,21.466,-18.7975,2.06468,7.63932,5.01655,0,0,2.22E-16,1.03523,4.69196,0.0542252,0,0,-0.59524,0,1.39E-17,2.384,569,52,2,0,2,False,SARS-CoV-2-XBB-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IL-1beta_relaxed_model_3_multimer_v3_pred_1.pdb,-9.9,5.3E-08
SARS-CoV-2-BA.1.1-N__IL-1beta,model_3_multimer_v3_pred_4,0.217694993,0.981112770866106,1.19880776428417,True,A,B,22.4803,6.21584,-10.8863,-1.52862,-8.89357,-15.2508,-1.28164,20.91,-21.0443,1.15478,9.11668,6.35744,0,0,0,0.186753,3.39364,0.0456678,0,0,-0.658731,0,-5.55E-17,2.384,569,47,1,0,1,False,SARS-CoV-2-BA.1.1-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-1beta_relaxed_model_3_multimer_v3_pred_4.pdb,-10.4,2.3E-08
BANAL-20-52-N__IL-1beta,model_3_multimer_v3_pred_3,0.216792035,0.985854752039874,1.20264678672732,True,A,B,30.1188,8.28393,-4.725,-1.61827,-9.3807,-12.4873,-1.09269,18.2556,-16.1215,1.89316,10.5145,5.6242,0,0,4.44E-16,0.403384,5.49462,0.0467463,0,0,-0.762156,0,4.16E-17,2.384,572,49,2,0,2,False,BANAL-20-52-N,IL-1beta,./best_AF2_and_GDock/BANAL-20-52-N_IL-1beta_relaxed_model_3_multimer_v3_pred_3.pdb,-9,2.4E-07
SARS-CoV-2-B.1.1-N__IL-1beta,model_3_multimer_v3_pred_2,0.207007502,0.986147295850154,1.19315479811586,True,A,B,32.2244,8.22764,-2.01924,-1.13184,-6.93624,-13.2089,-1.89205,21.1166,-16.4141,1.99356,8.98989,5.86345,0,0,-2.22E-16,0.490178,5.36377,0.0257938,0,0,-0.915568,0,-1.39E-17,2.384,572,50,2,0,2,False,SARS-CoV-2-B.1.1-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-1beta_relaxed_model_3_multimer_v3_pred_2.pdb,-9.2,1.7E-07
